dataset: X
instance: DO3
+-----------+
2D Packing Heuristic in Truck P191042301
Min2DVol: 28.578059999999994 [m2]
Stack 0 with items: ['0090019100_08062023005118', '0090019100_08062023000261']
Stack 1 with items: ['0090019100_08062023008772', '0090019100_08062023008772', '0090019100_08062023008772']
Stack 2 with items: ['0090019100_08062023008772', '0090019100_08062023008772', '0090019100_08062023008772']
Stack 3 with items: ['0090019100_08062023007414', '0090019100_08062023007414', '0090019100_08062023007414']
Stack 4 with items: ['0090019100_08062023007414', '0090019100_08062023002340', '0090019100_08062023007414']
Stack 5 with items: ['0090019100_08062023002340', '0090019100_08062023001524', '0090019100_08062023001524']
Stack 6 with items: ['0090019100_08062023001524', '0090019100_08062023000555', '0090019100_08062023000555']
Stack 7 with items: ['0090019100_08062023000555', '0090019100_08062023000555', '0090019100_08062023000555']
Stack 8 with items: ['0090019100_08062023000555', '0090019100_08062023000555', '0090019100_08062023000555']
Stack 9 with items: ['0090019100_08062023003522', '0090019100_08062023003522', '0090019100_08062023003522']
Stack 10 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023002344']
Stack 11 with items: ['0090019100_08062023003522', '0090019100_08062023003522', '0090019100_08062023003522']
Stack 12 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023002344']
Stack 13 with items: ['0090019100_08062023003522', '0090019100_08062023003522', '0090019100_08062023003522']
Stack 14 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023003522']
Stack 15 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023002344']
Stack 16 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023002344']
Stack 17 with items: ['0090019100_08062023003522', '0090019100_08062023003522', '0090019100_08062023003522']
Stack 18 with items: ['0090019100_08062023002344', '0090019100_08062023002344', '0090019100_08062023002344']
Heuristic packed all stacks
