dataset: A
instance: TR2
+-----------+
2D Packing Heuristic in Truck P207277401
Min2DVol: 31.66956000000001 [m2]
Stack 0 with items: ['0090017000_03072022009805', '0090017000_03072022007398', '0090017000_03072022009805']
Stack 1 with items: ['0090017000_03072022009805', '0090017000_03072022009615', '0090017000_03072022002782']
Stack 2 with items: ['0090017000_03072022009062', '0090017000_03072022009062']
Stack 3 with items: ['0090017000_03072022009062', '0090017000_03072022009062']
Stack 4 with items: ['0090017000_03072022009062', '0090017000_03072022009062']
Stack 5 with items: ['0090017000_03072022009062', '0090017000_03072022009062']
Stack 6 with items: ['0090017000_03072022009062', '0090017000_03072022009062']
Stack 7 with items: ['0090017000_03072022009062', '0090017000_03072022009051']
Stack 8 with items: ['0090017000_03072022009051', '0090017000_03072022009051']
Stack 9 with items: ['0090017000_03072022009051', '0090017000_03072022009051']
Stack 10 with items: ['0090017000_03072022009051', '0090017000_03072022009051']
Stack 11 with items: ['0090017000_03072022009051', '0090017000_03072022009051']
Stack 12 with items: ['0090017000_03072022009051', '0090017000_03072022009051']
Stack 13 with items: ['0090017000_03072022008625', '0090017000_03072022008175']
Stack 14 with items: ['0090017000_03072022008175', '0090017000_03072022008175']
Stack 15 with items: ['0090017000_03072022008175', '0090017000_03072022008175']
Stack 16 with items: ['0090017000_03072022008175', '0090017000_03072022008175']
Stack 17 with items: ['0090017000_03072022008175', '0090017000_03072022008175']
Stack 18 with items: ['0090017000_03072022008175', '0090017000_03072022008175']
Stack 19 with items: ['0090017000_03072022003455', '0090017000_03072022003455']
Stack 20 with items: ['0090017000_03072022003455', '0090017000_03072022003455']
Stack 21 with items: ['0090017000_03072022003455', '0090017000_03072022003455']
Stack 22 with items: ['0090017000_03072022003455', '0090017000_03072022003455']
Stack 23 with items: ['0090017000_03072022003455', '0090017000_03072022003455']
Stack 24 with items: ['0090017000_03072022003455', '0090017000_03072022001803']
Stack 25 with items: ['0090017000_03072022001454']
Heuristic packed all stacks
