dataset: C
instance: BY3
+-----------+
2D Packing Heuristic in Truck P069066401
Min2DVol: 32.16000000000001 [m2]
Stack 0 with items: ['0090016900_28022023034999', '0090016900_28022023001463']
Stack 1 with items: ['0090016900_28022023005740', '0090016900_28022023005740']
Stack 2 with items: ['0090016900_28022023034999', '0090016900_28022023020542']
Stack 3 with items: ['0090016900_28022023034999', '0090016900_28022023034999']
Stack 4 with items: ['0090016900_28022023022301', '0090016900_28022023019280', '0090016900_28022023022301', '0090016900_28022023022301']
Stack 5 with items: ['0090016900_28022023019280', '0090016900_28022023017982', '0090016900_28022023017982', '0090016900_28022023017842']
Stack 6 with items: ['0090016900_28022023017842', '0090016900_28022023017842', '0090016900_28022023017842', '0090016900_28022023017842']
Stack 7 with items: ['0090016900_28022023017842', '0090016900_28022023017035', '0090016900_28022023017842', '0090016900_28022023017842']
Stack 8 with items: ['0090016900_28022023017035', '0090016900_28022023013746', '0090016900_28022023013746', '0090016900_28022023017035']
Stack 9 with items: ['0090016900_28022023013746', '0090016900_28022023013746', '0090016900_28022023013746', '0090016900_28022023013746']
Stack 10 with items: ['0090016900_28022023013746', '0090016900_28022023013746', '0090016900_28022023013746', '0090016900_28022023013746']
Stack 11 with items: ['0090016900_28022023012993', '0090016900_28022023008793', '0090016900_28022023008793', '0090016900_28022023008516']
Stack 12 with items: ['0090016900_28022023008516', '0090016900_28022023008314', '0090016900_28022023008314', '0090016900_28022023008516']
Stack 13 with items: ['0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100']
Stack 14 with items: ['0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100']
Stack 15 with items: ['0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100', '0090016900_28022023005100']
Heuristic packed all stacks
