dataset: C
instance: RM
+-----------+
2D Packing Heuristic in Truck P075395103
Min2DVol: 31.71612000000001 [m2]
Stack 0 with items: ['0090038200_27022023015645', '0090038200_27022023014856', '0090038200_27022023011340', '0090038200_27022023019584']
Stack 1 with items: ['0090038200_27022023022624', '0090038200_27022023018656', '0090038200_27022023001435', '0090038200_27022023025942']
Stack 2 with items: ['0090038200_27022023013907', '0090038200_27022023013907', '0090038200_27022023013907']
Stack 3 with items: ['0090038200_27022023013093', '0090038200_27022023013093', '0090038200_27022023013093']
Stack 4 with items: ['0090038200_27022023013093', '0090038200_27022023012446', '0090038200_27022023012446']
Stack 5 with items: ['0090038200_27022023012446', '0090038200_27022023012295', '0090038200_27022023011713']
Stack 6 with items: ['0090038200_27022023011713', '0090038200_27022023011713', '0090038200_27022023011713']
Stack 7 with items: ['0090038200_27022023011713', '0090038200_27022023011713', '0090038200_27022023011713']
Stack 8 with items: ['0090038200_27022023011713', '0090038200_27022023011713', '0090038200_27022023011713']
Stack 9 with items: ['0090038200_27022023011713', '0090038200_27022023011213', '0090038200_27022023011713']
Stack 10 with items: ['0090038200_27022023011213', '0090038200_27022023010601', '0090038200_27022023005489']
Stack 11 with items: ['0090038200_27022023005489', '0090038200_27022023005489', '0090038200_27022023005489']
Stack 12 with items: ['0090038200_27022023005489', '0090038200_27022023005489', '0090038200_27022023005489']
Stack 13 with items: ['0090038200_27022023005489', '0090038200_27022023005489', '0090038200_27022023005489']
Stack 14 with items: ['0090038200_27022023005489', '0090038200_27022023005489', '0090038200_27022023005489']
Stack 15 with items: ['0090038200_27022023005489', '0090038200_27022023005489', '0090038200_27022023005489']
Stack 16 with items: ['0090038200_27022023026647', '0090038200_27022023009442', '0090038200_27022023009442']
Stack 17 with items: ['0090038200_27022023010577', '0090038200_27022023009442', '0090038200_27022023009442']
Heuristic packed all stacks
