dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P188161411
Min2DVol: 31.902000000000008 [m2]
Stack 0 with items: ['0090016900_08062023025946', '0090016900_08062023025946', '0090016900_08062023025946', '0090016900_08062023025946']
Stack 1 with items: ['0090016900_08062023025946', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 2 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 3 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 4 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 5 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 6 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 7 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 8 with items: ['0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846', '0090016900_08062023025846']
Stack 9 with items: ['0090016900_08062023025846', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023025846']
Stack 10 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 11 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 12 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 13 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 14 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 15 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 16 with items: ['0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337', '0090016900_08062023019337']
Stack 17 with items: ['0090016900_08062023019337', '0090016900_08062023004367', '0090016900_08062023004367', '0090016900_08062023004367']
Stack 18 with items: ['0090016900_08062023004367', '0090016900_08062023004367', '0090016900_08062023004367', '0090016900_08062023004367']
Stack 19 with items: ['0090016900_08062023004367', '0090016900_08062023004367', '0090016900_08062023004367', '0090016900_08062023004367']
Stack 20 with items: ['0090016900_08062023035124', '0090016900_08062023035124', '0090016900_08062023035124']
Heuristic packed all stacks
