dataset: A
instance: BY2
+-----------+
2D Packing Heuristic in Truck P256062001
Min2DVol: 21.12000000000001 [m2]
Stack 0 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 1 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 2 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 3 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 4 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 5 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 6 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 7 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 8 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 9 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 10 with items: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 11 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 12 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 13 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 14 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 15 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 16 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 17 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 18 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 19 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 20 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stack 21 with items: ['0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670', '0090016900_03072022003670']
Stacks not packed:
Stack 5 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 6 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 7 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 8 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 9 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
Stack 10 missing: ['0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791', '0090016900_03072022004791']
