dataset: X
instance: DO5
+-----------+
2D Packing Heuristic in Truck P194215005
Min2DVol: 18.2 [m2]
Stack 0 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 1 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 2 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 3 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 4 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 5 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 6 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 7 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 8 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 9 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 10 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 11 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 12 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 13 with items: ['0090019100_14062023006301', '0090019100_14062023006301', '0090019100_14062023006301']
Stack 14 with items: ['0090019100_14062023002874', '0090019100_14062023002874', '0090019100_14062023002874']
Stack 15 with items: ['0090019100_14062023002874', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 16 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 17 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 18 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 19 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 20 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 21 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 22 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 23 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 24 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 25 with items: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 26 with items: ['0090019100_14062023001287', '0090019100_14062023000356', '0090019100_14062023001287']
Stack 27 with items: ['0090019100_14062023000356']
Stacks not packed:
Stack 14 missing: ['0090019100_14062023002874', '0090019100_14062023002874', '0090019100_14062023002874']
Stack 15 missing: ['0090019100_14062023002874', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 17 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 18 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 19 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 20 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 21 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 22 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 23 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 24 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 25 missing: ['0090019100_14062023001287', '0090019100_14062023001287', '0090019100_14062023001287']
Stack 26 missing: ['0090019100_14062023001287', '0090019100_14062023000356', '0090019100_14062023001287']
