dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P188167107
Min2DVol: 21.878999999999998 [m2]
Stack 0 with items: ['0090016900_08062023041864', '0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242']
Stack 1 with items: ['0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242']
Stack 2 with items: ['0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242']
Stack 3 with items: ['0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242']
Stack 4 with items: ['0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242', '0090016900_08062023040242']
Stack 5 with items: ['0090016900_08062023040242', '0090016900_08062023038574', '0090016900_08062023038574', '0090016900_08062023040242']
Stack 6 with items: ['0090016900_08062023038574', '0090016900_08062023038574', '0090016900_08062023038574', '0090016900_08062023038574']
Stack 7 with items: ['0090016900_08062023038574', '0090016900_08062023038574', '0090016900_08062023038574', '0090016900_08062023038574']
Stack 8 with items: ['0090016900_08062023038574', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023038574']
Stack 9 with items: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 10 with items: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 11 with items: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 12 with items: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 13 with items: ['0090016900_08062023014367', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 14 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 15 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 16 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 17 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 18 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 19 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 20 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 21 with items: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stacks not packed:
Stack 11 missing: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 12 missing: ['0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367', '0090016900_08062023014367']
Stack 13 missing: ['0090016900_08062023014367', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 14 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 15 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 16 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 17 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 18 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 19 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
Stack 20 missing: ['0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340', '0090016900_08062023011340']
