dataset: A
instance: BY2
+-----------+
2D Packing Heuristic in Truck P256063801
Min2DVol: 25.080000000000005 [m2]
Stack 0 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 1 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 2 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 3 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 4 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 5 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 6 with items: ['0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408', '0090016900_03072022008408']
Stack 7 with items: ['0090016900_03072022008408', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 8 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 9 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 10 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 11 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 12 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 13 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 14 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 15 with items: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 16 with items: ['0090016900_03072022003391', '0090016900_03072022001878', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 17 with items: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 18 with items: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 19 with items: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 20 with items: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 21 with items: ['0090016900_03072022001878', '0090016900_03072022001878']
Stacks not packed:
Stack 13 missing: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 14 missing: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 15 missing: ['0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 16 missing: ['0090016900_03072022003391', '0090016900_03072022001878', '0090016900_03072022003391', '0090016900_03072022003391']
Stack 17 missing: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 18 missing: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 19 missing: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
Stack 20 missing: ['0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878', '0090016900_03072022001878']
