dataset: C
instance: VA3
+-----------+
2D Packing Heuristic in Truck P081541107
Min2DVol: 30.720000000000013 [m2]
Stack 0 with items: ['0091017300_28022023020497', '0091017300_28022023020497', '0091017300_28022023020497', '0091017300_28022023020497']
Stack 1 with items: ['0091017300_28022023020497', '0091017300_28022023020497', '0091017300_28022023020497', '0091017300_28022023020497']
Stack 2 with items: ['0091017300_28022023020497', '0091017300_28022023019990', '0091017300_28022023019990', '0091017300_28022023020497']
Stack 3 with items: ['0091017300_28022023019990', '0091017300_28022023019990', '0091017300_28022023019990', '0091017300_28022023019990']
Stack 4 with items: ['0091017300_28022023019990', '0091017300_28022023019029', '0091017300_28022023019029', '0091017300_28022023018891']
Stack 5 with items: ['0091017300_28022023018891', '0091017300_28022023018891', '0091017300_28022023018891', '0091017300_28022023018891']
Stack 6 with items: ['0091017300_28022023018891', '0091017300_28022023014673', '0091017300_28022023014673', '0091017300_28022023018891']
Stack 7 with items: ['0091017300_28022023013183', '0091017300_28022023013183', '0091017300_28022023013183', '0091017300_28022023013183']
Stack 8 with items: ['0091017300_28022023013183', '0091017300_28022023007203', '0091017300_28022023008548', '0091017300_28022023007203']
Stack 9 with items: ['0091017300_28022023007203', '0091017300_28022023007203', '0091017300_28022023007203', '0091017300_28022023007203']
Stack 10 with items: ['0091017300_28022023007087', '0091017300_28022023006366', '0091017300_28022023006366', '0091017300_28022023005298']
Stack 11 with items: ['0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298']
Stack 12 with items: ['0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298']
Stack 13 with items: ['0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298', '0091017300_28022023005298']
Stack 14 with items: ['0091017300_28022023005298', '0091017300_28022023004813', '0091017300_28022023004813', '0091017300_28022023005298']
Stack 15 with items: ['0091017300_28022023001737', '0091017300_28022023001737', '0091017300_28022023001737', '0091017300_28022023001737']
Heuristic packed all stacks
