dataset: X
instance: TR3
+-----------+
2D Packing Heuristic in Truck P207420405
Min2DVol: 31.716119999999997 [m2]
Stack 0 with items: ['0090017000_08062023018670', '0090017000_08062023000192']
Stack 1 with items: ['0090017000_08062023020429', '0090017000_08062023030292']
Stack 2 with items: ['0090017000_08062023036287', '0090017000_08062023035490', '0090017000_08062023036287']
Stack 3 with items: ['0090017000_08062023035490', '0090017000_08062023035490', '0090017000_08062023035490']
Stack 4 with items: ['0090017000_08062023035490', '0090017000_08062023033516', '0090017000_08062023035490']
Stack 5 with items: ['0090017000_08062023033516', '0090017000_08062023031579', '0090017000_08062023025524']
Stack 6 with items: ['0090017000_08062023025524', '0090017000_08062023021667', '0090017000_08062023025524']
Stack 7 with items: ['0090017000_08062023021667', '0090017000_08062023021242', '0090017000_08062023021242']
Stack 8 with items: ['0090017000_08062023018757', '0090017000_08062023018757', '0090017000_08062023018757']
Stack 9 with items: ['0090017000_08062023018757', '0090017000_08062023018332', '0090017000_08062023018757']
Stack 10 with items: ['0090017000_08062023015784', '0090017000_08062023015784', '0090017000_08062023015784']
Stack 11 with items: ['0090017000_08062023015784', '0090017000_08062023004991', '0090017000_08062023015784']
Stack 12 with items: ['0090017000_08062023014160', '0090017000_08062023014160', '0090017000_08062023014160']
Stack 13 with items: ['0090017000_08062023014160', '0090017000_08062023004814', '0090017000_08062023004814']
Stack 14 with items: ['0090017000_08062023004991', '0090017000_08062023004991', '0090017000_08062023004991']
Stack 15 with items: ['0090017000_08062023004991', '0090017000_08062023004991', '0090017000_08062023004991']
Stack 16 with items: ['0090017000_08062023004814', '0090017000_08062023004814', '0090017000_08062023004814']
Stack 17 with items: ['0090017000_08062023004814', '0090017000_08062023001007', '0090017000_08062023001007']
Stack 18 with items: ['0090017000_08062023001007', '0090017000_08062023001007', '0090017000_08062023001007']
Stack 19 with items: ['0090017000_08062023001007', '0090017000_08062023001007', '0090017000_08062023001007']
Stack 20 with items: ['0090017000_08062023004793', '0090017000_08062023004793', '0090017000_08062023004793']
Stack 21 with items: ['0090017000_08062023034199', '0090017000_08062023034199', '0090017000_08062023034199']
Stack 22 with items: ['0090017000_08062023013427', '0090017000_08062023017585', '0090017000_08062023028230']
Stack 23 with items: ['0090017000_08062023017585', '0090017000_08062023004793', '0090017000_08062023022057']
Heuristic packed all stacks
