dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P108380701
Min2DVol: 28.83611999999999 [m2]
Stack 0 with items: ['0090038300_27022023011952', '0090038300_27022023014525', '0090038300_27022023023807']
Stack 1 with items: ['0090038300_27022023001034', '0090038300_27022023001591']
Stack 2 with items: ['0090038300_27022023002719', '0090038300_27022023002719', '0090038300_27022023002719']
Stack 3 with items: ['0090038300_27022023027766', '0090038300_27022023022889', '0090038300_27022023027766', '0090038300_27022023027766']
Stack 4 with items: ['0090038300_27022023022889', '0090038300_27022023020308', '0090038300_27022023022889', '0090038300_27022023022889']
Stack 5 with items: ['0090038300_27022023020308', '0090038300_27022023018007', '0090038300_27022023018007', '0090038300_27022023020308']
Stack 6 with items: ['0090038300_27022023018007', '0090038300_27022023018007', '0090038300_27022023018007', '0090038300_27022023018007']
Stack 7 with items: ['0090038300_27022023018007', '0090038300_27022023018007', '0090038300_27022023018007', '0090038300_27022023018007']
Stack 8 with items: ['0090038300_27022023018007', '0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023018007']
Stack 9 with items: ['0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951']
Stack 10 with items: ['0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951']
Stack 11 with items: ['0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951', '0090038300_27022023016951']
Stack 12 with items: ['0090038300_27022023016951', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 13 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 14 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 15 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 16 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 17 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 18 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 19 with items: ['0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428', '0090038300_27022023009428']
Stack 20 with items: ['0090038300_27022023009428', '0090038300_27022023002135', '0090038300_27022023007791', '0090038300_27022023002135']
Stack 21 with items: ['0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135']
Stack 22 with items: ['0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135']
Stack 23 with items: ['0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135', '0090038300_27022023002135']
Heuristic packed all stacks
