dataset: X
instance: TA6
+-----------+
2D Packing Heuristic in Truck P238382101
Min2DVol: 67.19999999999985 [m2]
Stack 0 with items: ['0090038300_14062023011086', '0090038300_14062023004303', '0090038300_14062023011086']
Stack 1 with items: ['0090038300_14062023011086', '0090038300_14062023011022']
Stack 2 with items: ['0090038300_14062023010340', '0090038300_14062023010187']
Stack 3 with items: ['0090038300_14062023010087', '0090038300_14062023009943']
Stack 4 with items: ['0090038300_14062023008248', '0090038300_14062023008069']
Stack 5 with items: ['0090038300_14062023007884', '0090038300_14062023007884']
Stack 6 with items: ['0090038300_14062023007574', '0090038300_14062023007111']
Stack 7 with items: ['0090038300_14062023006832', '0090038300_14062023006671']
Stack 8 with items: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 9 with items: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 10 with items: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 11 with items: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 12 with items: ['0090038300_14062023006671', '0090038300_14062023006391']
Stack 13 with items: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 14 with items: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 15 with items: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 16 with items: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 17 with items: ['0090038300_14062023006391', '0090038300_14062023006369']
Stack 18 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 19 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 20 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 21 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 22 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 23 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 24 with items: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 25 with items: ['0090038300_14062023006369', '0090038300_14062023006129']
Stack 26 with items: ['0090038300_14062023005946', '0090038300_14062023005946']
Stack 27 with items: ['0090038300_14062023005946', '0090038300_14062023005781']
Stack 28 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 29 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 30 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 31 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 32 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 33 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 34 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 35 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 36 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 37 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 38 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 39 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 40 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 41 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 42 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 43 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 44 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 45 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 46 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 47 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 48 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 49 with items: ['0090038300_14062023005781', '0090038300_14062023005781']
Stack 50 with items: ['0090038300_14062023005781', '0090038300_14062023005644']
Stack 51 with items: ['0090038300_14062023005644', '0090038300_14062023005644']
Stack 52 with items: ['0090038300_14062023005576', '0090038300_14062023005576']
Stack 53 with items: ['0090038300_14062023005576', '0090038300_14062023005576']
Stack 54 with items: ['0090038300_14062023005483', '0090038300_14062023005483']
Stack 55 with items: ['0090038300_14062023005483', '0090038300_14062023005483']
Stack 56 with items: ['0090038300_14062023005483', '0090038300_14062023005483']
Stack 57 with items: ['0090038300_14062023005483', '0090038300_14062023005483']
Stack 58 with items: ['0090038300_14062023005483', '0090038300_14062023005483']
Stack 59 with items: ['0090038300_14062023005483', '0090038300_14062023005447']
Stack 60 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 61 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 62 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 63 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 64 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 65 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 66 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 67 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 68 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 69 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 70 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 71 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 72 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 73 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 74 with items: ['0090038300_14062023005366', '0090038300_14062023005366']
Stack 75 with items: ['0090038300_14062023005366', '0090038300_14062023005262']
Stack 76 with items: ['0090038300_14062023005262', '0090038300_14062023005262']
Stack 77 with items: ['0090038300_14062023005262', '0090038300_14062023005262']
Stack 78 with items: ['0090038300_14062023004972', '0090038300_14062023004972']
Stack 79 with items: ['0090038300_14062023004972', '0090038300_14062023004972']
Stack 80 with items: ['0090038300_14062023004905', '0090038300_14062023004905']
Stack 81 with items: ['0090038300_14062023004905', '0090038300_14062023004905']
Stack 82 with items: ['0090038300_14062023004905', '0090038300_14062023004899']
Stack 83 with items: ['0090038300_14062023004899', '0090038300_14062023004899']
Stack 84 with items: ['0090038300_14062023004899', '0090038300_14062023004555']
Stack 85 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 86 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 87 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 88 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 89 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 90 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 91 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 92 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 93 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 94 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 95 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 96 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 97 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 98 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 99 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 100 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 101 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 102 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 103 with items: ['0090038300_14062023004510', '0090038300_14062023004510']
Stack 104 with items: ['0090038300_14062023004510', '0090038300_14062023004449']
Stack 105 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 106 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 107 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 108 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 109 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 110 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 111 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 112 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 113 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 114 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 115 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 116 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 117 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 118 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 119 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 120 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 121 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 122 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 123 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 124 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 125 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 126 with items: ['0090038300_14062023004449', '0090038300_14062023004449']
Stack 127 with items: ['0090038300_14062023004374', '0090038300_14062023004374']
Stack 128 with items: ['0090038300_14062023004374', '0090038300_14062023004172']
Stack 129 with items: ['0090038300_14062023004112', '0090038300_14062023003784']
Stack 130 with items: ['0090038300_14062023003784', '0090038300_14062023003586']
Stack 131 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 132 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 133 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 134 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 135 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 136 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 137 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 138 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 139 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 140 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 141 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 142 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 143 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 144 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 145 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 146 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 147 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 148 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 149 with items: ['0090038300_14062023003586', '0090038300_14062023003586']
Stack 150 with items: ['0090038300_14062023003196', '0090038300_14062023003196']
Stack 151 with items: ['0090038300_14062023002873', '0090038300_14062023002873']
Stack 152 with items: ['0090038300_14062023002873', '0090038300_14062023001972']
Stack 153 with items: ['0090038300_14062023001871', '0090038300_14062023001871']
Stack 154 with items: ['0090038300_14062023001513', '0090038300_14062023001513']
Stack 155 with items: ['0090038300_14062023001513', '0090038300_14062023001513']
Stack 156 with items: ['0090038300_14062023001513', '0090038300_14062023001513']
Stack 157 with items: ['0090038300_14062023001513', '0090038300_14062023001185']
Stack 158 with items: ['0090038300_14062023000801', '0090038300_14062023000801']
Stack 159 with items: ['0090038300_14062023000683', '0090038300_14062023000683']
Stack 160 with items: ['0090038300_14062023000683', '0090038300_14062023000683']
Stack 161 with items: ['0090038300_14062023000637', '0090038300_14062023000637']
Stack 162 with items: ['0090038300_14062023000499', '0090038300_14062023000499']
Stack 163 with items: ['0090038300_14062023000499', '0090038300_14062023000499']
Stack 164 with items: ['0090038300_14062023000499', '0090038300_14062023000324']
Stack 165 with items: ['0090038300_14062023000324', '0090038300_14062023000324']
Stack 166 with items: ['0090038300_14062023000324', '0090038300_14062023000324']
Stack 167 with items: ['0090038300_14062023000279', '0090038300_14062023000279']
Stacks not packed:
Stack 0 missing: ['0090038300_14062023011086', '0090038300_14062023004303', '0090038300_14062023011086']
Stack 1 missing: ['0090038300_14062023011086', '0090038300_14062023011022']
Stack 2 missing: ['0090038300_14062023010340', '0090038300_14062023010187']
Stack 3 missing: ['0090038300_14062023010087', '0090038300_14062023009943']
Stack 4 missing: ['0090038300_14062023008248', '0090038300_14062023008069']
Stack 5 missing: ['0090038300_14062023007884', '0090038300_14062023007884']
Stack 6 missing: ['0090038300_14062023007574', '0090038300_14062023007111']
Stack 7 missing: ['0090038300_14062023006832', '0090038300_14062023006671']
Stack 8 missing: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 9 missing: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 10 missing: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 11 missing: ['0090038300_14062023006671', '0090038300_14062023006671']
Stack 12 missing: ['0090038300_14062023006671', '0090038300_14062023006391']
Stack 13 missing: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 14 missing: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 15 missing: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 16 missing: ['0090038300_14062023006391', '0090038300_14062023006391']
Stack 17 missing: ['0090038300_14062023006391', '0090038300_14062023006369']
Stack 18 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 19 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 20 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 21 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 22 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 23 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 24 missing: ['0090038300_14062023006369', '0090038300_14062023006369']
Stack 25 missing: ['0090038300_14062023006369', '0090038300_14062023006129']
Stack 26 missing: ['0090038300_14062023005946', '0090038300_14062023005946']
Stack 27 missing: ['0090038300_14062023005946', '0090038300_14062023005781']
Stack 28 missing: ['0090038300_14062023005781', '0090038300_14062023005781']
