dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P086220701
Min2DVol: 20.70702 [m2]
Stack 0 with items: ['0090016900_27022023029819', '0090016900_27022023023869', '0090016900_27022023023869']
Stack 1 with items: ['0090016900_27022023020292', '0090016900_27022023007139', '0090016900_27022023007139', '0090016900_27022023009904', '0090016900_27022023001570']
Stack 2 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 3 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 4 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 5 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 6 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 7 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 8 with items: ['0090016900_27022023006294', '0090016900_27022023006294']
Stack 9 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 10 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 11 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 12 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 13 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 14 with items: ['0090016900_27022023006073', '0090016900_27022023006073']
Stack 15 with items: ['0090016900_27022023003179', '0090016900_27022023002066']
Stack 16 with items: ['0090016900_27022023000654', '0090016900_27022023000654']
Heuristic packed all stacks
