dataset: C
instance: VA3
+-----------+
2D Packing Heuristic in Truck P074540703
Min2DVol: 26.616119999999995 [m2]
Stack 0 with items: ['0091017300_28022023015811', '0091017300_28022023001965', '0091017300_28022023001965']
Stack 1 with items: ['0091017300_28022023012258']
Stack 2 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 3 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 4 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 5 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 6 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 7 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 8 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 9 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 10 with items: ['0091017300_28022023016899', '0091017300_28022023016899']
Stack 11 with items: ['0091017300_28022023015004', '0091017300_28022023015004']
Stack 12 with items: ['0091017300_28022023013248', '0091017300_28022023013248']
Stack 13 with items: ['0091017300_28022023013248', '0091017300_28022023013248']
Stack 14 with items: ['0091017300_28022023013248', '0091017300_28022023013248']
Heuristic packed all stacks
