dataset: X
instance: TR7
+-----------+
2D Packing Heuristic in Truck P203421707
Min2DVol: 32.1 [m2]
Stack 0 with items: ['0090017000_14062023033324', '0090017000_14062023031579', '0090017000_14062023033324']
Stack 1 with items: ['0090017000_14062023031579', '0090017000_14062023031579', '0090017000_14062023031579']
Stack 2 with items: ['0090017000_14062023025821', '0090017000_14062023025821', '0090017000_14062023025821']
Stack 3 with items: ['0090017000_14062023025821', '0090017000_14062023023911', '0090017000_14062023023911']
Stack 4 with items: ['0090017000_14062023023911', '0090017000_14062023023911', '0090017000_14062023023911']
Stack 5 with items: ['0090017000_14062023020187', '0090017000_14062023015602', '0090017000_14062023020187']
Stack 6 with items: ['0090017000_14062023015602', '0090017000_14062023015602', '0090017000_14062023015602']
Stack 7 with items: ['0090017000_14062023014839', '0090017000_14062023014839', '0090017000_14062023014839']
Stack 8 with items: ['0090017000_14062023014839', '0090017000_14062023012110', '0090017000_14062023014839']
Stack 9 with items: ['0090017000_14062023012110', '0090017000_14062023012110', '0090017000_14062023012110']
Stack 10 with items: ['0090017000_14062023009822', '0090017000_14062023009822', '0090017000_14062023009822']
Stack 11 with items: ['0090017000_14062023009822', '0090017000_14062023009822', '0090017000_14062023009822']
Stack 12 with items: ['0090017000_14062023009822', '0090017000_14062023003725', '0090017000_14062023002751']
Stack 13 with items: ['0090017000_14062023001825', '0090017000_14062023001825', '0090017000_14062023001825']
Stack 14 with items: ['0090017000_14062023001825', '0090017000_14062023001825', '0090017000_14062023001825']
Stack 15 with items: ['0090017000_14062023001825', '0090017000_14062023001825']
Stack 16 with items: ['0090017000_14062023043340', '0090017000_14062023043340']
Stack 17 with items: ['0090017000_14062023043340', '0090017000_14062023034303']
Stack 18 with items: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 19 with items: ['0090017000_14062023024132', '0090017000_14062023011756']
Stack 20 with items: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 21 with items: ['0090017000_14062023024132', '0090017000_14062023034303']
Stack 22 with items: ['0090017000_14062023044444', '0090017000_14062023044444']
Stack 23 with items: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 24 with items: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 25 with items: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 26 with items: ['0090017000_14062023043340', '0090017000_14062023011756']
Stack 27 with items: ['0090017000_14062023013404', '0090017000_14062023026864']
Stack 28 with items: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 29 with items: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 30 with items: ['0090017000_14062023043340', '0090017000_14062023043340']
Stack 31 with items: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 32 with items: ['0090017000_14062023033406', '0090017000_14062023033406']
Stack 33 with items: ['0090017000_14062023034303', '0090017000_14062023034303']
Stacks not packed:
Stack 16 missing: ['0090017000_14062023043340', '0090017000_14062023043340']
Stack 17 missing: ['0090017000_14062023043340', '0090017000_14062023034303']
Stack 18 missing: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 19 missing: ['0090017000_14062023024132', '0090017000_14062023011756']
Stack 20 missing: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 21 missing: ['0090017000_14062023024132', '0090017000_14062023034303']
Stack 22 missing: ['0090017000_14062023044444', '0090017000_14062023044444']
Stack 23 missing: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 24 missing: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 25 missing: ['0090017000_14062023034303', '0090017000_14062023034303']
Stack 26 missing: ['0090017000_14062023043340', '0090017000_14062023011756']
Stack 27 missing: ['0090017000_14062023013404', '0090017000_14062023026864']
Stack 28 missing: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 29 missing: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 30 missing: ['0090017000_14062023043340', '0090017000_14062023043340']
Stack 31 missing: ['0090017000_14062023011756', '0090017000_14062023011756']
Stack 32 missing: ['0090017000_14062023033406', '0090017000_14062023033406']
Stack 33 missing: ['0090017000_14062023034303', '0090017000_14062023034303']
