dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P065050623
Min2DVol: 30.072239999999987 [m2]
Stack 0 with items: ['0090017100_27022023030385', '0090017100_27022023023669']
Stack 1 with items: ['0090017100_27022023019052', '0090017100_27022023015273']
Stack 2 with items: ['0090017100_27022023010260', '0090017100_27022023006793']
Stack 3 with items: ['0090017100_27022023000534', '0090017100_27022023000534']
Stack 4 with items: ['0090017100_27022023035607', '0090017100_27022023034093', '0090017100_27022023035607']
Stack 5 with items: ['0090017100_27022023034093', '0090017100_27022023032967', '0090017100_27022023034093']
Stack 6 with items: ['0090017100_27022023033295', '0090017100_27022023033295', '0090017100_27022023033295']
Stack 7 with items: ['0090017100_27022023032967', '0090017100_27022023031634', '0090017100_27022023032967']
Stack 8 with items: ['0090017100_27022023031634', '0090017100_27022023026419', '0090017100_27022023031634']
Stack 9 with items: ['0090017100_27022023026419', '0090017100_27022023024478', '0090017100_27022023026419']
Stack 10 with items: ['0090017100_27022023024478', '0090017100_27022023024117', '0090017100_27022023024478']
Stack 11 with items: ['0090017100_27022023024117', '0090017100_27022023022863', '0090017100_27022023022409']
Stack 12 with items: ['0090017100_27022023022355', '0090017100_27022023020114', '0090017100_27022023020114']
Stack 13 with items: ['0090017100_27022023019164', '0090017100_27022023018027', '0090017100_27022023018027']
Stack 14 with items: ['0090017100_27022023018027', '0090017100_27022023017927', '0090017100_27022023017927']
Stack 15 with items: ['0090017100_27022023017927', '0090017100_27022023014644', '0090017100_27022023017927']
Stack 16 with items: ['0090017100_27022023011410', '0090017100_27022023011410', '0090017100_27022023011410']
Stack 17 with items: ['0090017100_27022023010135', '0090017100_27022023009863', '0090017100_27022023009648']
Stack 18 with items: ['0090017100_27022023009648', '0090017100_27022023009648', '0090017100_27022023009648']
Stack 19 with items: ['0090017100_27022023009648', '0090017100_27022023009126', '0090017100_27022023009126']
Stack 20 with items: ['0090017100_27022023008783', '0090017100_27022023008783', '0090017100_27022023008783']
Stack 21 with items: ['0090017100_27022023006866', '0090017100_27022023006866', '0090017100_27022023006866']
Stack 22 with items: ['0090017100_27022023006866', '0090017100_27022023006866', '0090017100_27022023006866']
Stack 23 with items: ['0090017100_27022023005780', '0090017100_27022023005780', '0090017100_27022023005780']
Stack 24 with items: ['0090017100_27022023000847', '0090017100_27022023000847', '0090017100_27022023000847']
Heuristic packed all stacks
