dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P326234401
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017100_26102022016576', '0090017100_26102022016576', '0090017100_26102022016576']
Stack 1 with items: ['0090017100_26102022016576', '0090017100_26102022016576', '0090017100_26102022016576']
Stack 2 with items: ['0090017100_26102022016576', '0090017100_26102022016576', '0090017100_26102022016576']
Stack 3 with items: ['0090017100_26102022016576', '0090017100_26102022016576', '0090017100_26102022016576']
Stack 4 with items: ['0090017100_26102022014766', '0090017100_26102022014766', '0090017100_26102022014766']
Stack 5 with items: ['0090017100_26102022014766', '0090017100_26102022014586', '0090017100_26102022014586']
Stack 6 with items: ['0090017100_26102022014586', '0090017100_26102022014586', '0090017100_26102022014586']
Stack 7 with items: ['0090017100_26102022014586', '0090017100_26102022014586', '0090017100_26102022014586']
Stack 8 with items: ['0090017100_26102022014586', '0090017100_26102022014586', '0090017100_26102022014586']
Stack 9 with items: ['0090017100_26102022014586', '0090017100_26102022012830', '0090017100_26102022014586']
Stack 10 with items: ['0090017100_26102022012830', '0090017100_26102022011007', '0090017100_26102022010671']
Stack 11 with items: ['0090017100_26102022010671', '0090017100_26102022010671', '0090017100_26102022010671']
Stack 12 with items: ['0090017100_26102022010671', '0090017100_26102022010671', '0090017100_26102022010671']
Stack 13 with items: ['0090017100_26102022010671', '0090017100_26102022010671', '0090017100_26102022010671']
Stack 14 with items: ['0090017100_26102022010671', '0090017100_26102022010671', '0090017100_26102022010671']
Stack 15 with items: ['0090017100_26102022009785', '0090017100_26102022009769', '0090017100_26102022009785']
Stack 16 with items: ['0090017100_26102022009769', '0090017100_26102022009769', '0090017100_26102022009769']
Stack 17 with items: ['0090017100_26102022009769', '0090017100_26102022009746', '0090017100_26102022009769']
Stack 18 with items: ['0090017100_26102022009746', '0090017100_26102022009746', '0090017100_26102022009746']
Stack 19 with items: ['0090017100_26102022009746', '0090017100_26102022009746', '0090017100_26102022009746']
Stack 20 with items: ['0090017100_26102022009746', '0090017100_26102022009746', '0090017100_26102022009746']
Stack 21 with items: ['0090017100_26102022009746', '0090017100_26102022009465', '0090017100_26102022009746']
Stack 22 with items: ['0090017100_26102022009465', '0090017100_26102022009465', '0090017100_26102022009465']
Stack 23 with items: ['0090017100_26102022008694', '0090017100_26102022008694', '0090017100_26102022008694']
Stack 24 with items: ['0090017100_26102022005165', '0090017100_26102022005165', '0090017100_26102022005165']
Stack 25 with items: ['0090017100_26102022005165', '0090017100_26102022000799', '0090017100_26102022000799']
Heuristic packed all stacks
