dataset: X
instance: TA
+-----------+
2D Packing Heuristic in Truck P206382409
Min2DVol: 22.20000000000001 [m2]
Stack 0 with items: ['0090038300_08062023012831', '0090038300_08062023012831', '0090038300_08062023012831']
Stack 1 with items: ['0090038300_08062023012831', '0090038300_08062023012831', '0090038300_08062023012831']
Stack 2 with items: ['0090038300_08062023012831', '0090038300_08062023012831', '0090038300_08062023012831']
Stack 3 with items: ['0090038300_08062023012831', '0090038300_08062023012793', '0090038300_08062023012831']
Stack 4 with items: ['0090038300_08062023012793', '0090038300_08062023012693', '0090038300_08062023012423']
Stack 5 with items: ['0090038300_08062023011804', '0090038300_08062023011790', '0090038300_08062023011804']
Stack 6 with items: ['0090038300_08062023011790', '0090038300_08062023011790', '0090038300_08062023011790']
Stack 7 with items: ['0090038300_08062023011790', '0090038300_08062023011457', '0090038300_08062023011790']
Stack 8 with items: ['0090038300_08062023011457', '0090038300_08062023011422', '0090038300_08062023011422']
Stack 9 with items: ['0090038300_08062023011356', '0090038300_08062023011356', '0090038300_08062023011356']
Stack 10 with items: ['0090038300_08062023011356', '0090038300_08062023011356', '0090038300_08062023011356']
Stack 11 with items: ['0090038300_08062023011356', '0090038300_08062023011356', '0090038300_08062023011356']
Stack 12 with items: ['0090038300_08062023011250', '0090038300_08062023010343', '0090038300_08062023010343']
Stack 13 with items: ['0090038300_08062023010049', '0090038300_08062023010049', '0090038300_08062023010049']
Stack 14 with items: ['0090038300_08062023010049', '0090038300_08062023010049', '0090038300_08062023010049']
Stack 15 with items: ['0090038300_08062023010049', '0090038300_08062023009832', '0090038300_08062023009832']
Stack 16 with items: ['0090038300_08062023009779', '0090038300_08062023008908', '0090038300_08062023008015']
Stack 17 with items: ['0090038300_08062023008002', '0090038300_08062023008002', '0090038300_08062023008002']
Stack 18 with items: ['0090038300_08062023008002', '0090038300_08062023007815', '0090038300_08062023007815']
Stack 19 with items: ['0090038300_08062023007774', '0090038300_08062023007650', '0090038300_08062023007650']
Stack 20 with items: ['0090038300_08062023007534', '0090038300_08062023007534', '0090038300_08062023007534']
Stack 21 with items: ['0090038300_08062023007534', '0090038300_08062023007534', '0090038300_08062023007534']
Stack 22 with items: ['0090038300_08062023007534', '0090038300_08062023007140', '0090038300_08062023007140']
Stack 23 with items: ['0090038300_08062023006525', '0090038300_08062023006438', '0090038300_08062023006438']
Stack 24 with items: ['0090038300_08062023005722', '0090038300_08062023005722', '0090038300_08062023005722']
Stack 25 with items: ['0090038300_08062023004867', '0090038300_08062023004705', '0090038300_08062023004705']
Stack 26 with items: ['0090038300_08062023004668', '0090038300_08062023004395', '0090038300_08062023003838']
Stack 27 with items: ['0090038300_08062023003509', '0090038300_08062023003509', '0090038300_08062023003509']
Stack 28 with items: ['0090038300_08062023003509', '0090038300_08062023003509', '0090038300_08062023003509']
Stack 29 with items: ['0090038300_08062023003509', '0090038300_08062023003509', '0090038300_08062023003509']
Stack 30 with items: ['0090038300_08062023003453', '0090038300_08062023003453', '0090038300_08062023003453']
Stack 31 with items: ['0090038300_08062023003453', '0090038300_08062023003453', '0090038300_08062023003453']
Stack 32 with items: ['0090038300_08062023003453', '0090038300_08062023003453', '0090038300_08062023003453']
Stack 33 with items: ['0090038300_08062023003453', '0090038300_08062023003453', '0090038300_08062023003453']
Stack 34 with items: ['0090038300_08062023002947', '0090038300_08062023001002', '0090038300_08062023000562']
Stack 35 with items: ['0090038300_08062023000483', '0090038300_08062023000455', '0090038300_08062023000187']
Stack 36 with items: ['0090038300_08062023000187']
Stacks not packed:
Stack 4 missing: ['0090038300_08062023012793', '0090038300_08062023012693', '0090038300_08062023012423']
Stack 12 missing: ['0090038300_08062023011250', '0090038300_08062023010343', '0090038300_08062023010343']
Stack 15 missing: ['0090038300_08062023010049', '0090038300_08062023009832', '0090038300_08062023009832']
Stack 16 missing: ['0090038300_08062023009779', '0090038300_08062023008908', '0090038300_08062023008015']
Stack 17 missing: ['0090038300_08062023008002', '0090038300_08062023008002', '0090038300_08062023008002']
Stack 18 missing: ['0090038300_08062023008002', '0090038300_08062023007815', '0090038300_08062023007815']
Stack 19 missing: ['0090038300_08062023007774', '0090038300_08062023007650', '0090038300_08062023007650']
Stack 24 missing: ['0090038300_08062023005722', '0090038300_08062023005722', '0090038300_08062023005722']
Stack 26 missing: ['0090038300_08062023004668', '0090038300_08062023004395', '0090038300_08062023003838']
Stack 34 missing: ['0090038300_08062023002947', '0090038300_08062023001002', '0090038300_08062023000562']
Stack 35 missing: ['0090038300_08062023000483', '0090038300_08062023000455', '0090038300_08062023000187']
