dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P079521205
Min2DVol: 19.199999999999996 [m2]
Stack 0 with items: ['0091017300_27022023044838', '0091017300_27022023019828', '0091017300_27022023017774']
Stack 1 with items: ['0091017300_27022023034862', '0091017300_27022023019828', '0091017300_27022023044838']
Stack 2 with items: ['0091017300_27022023000729', '0091017300_27022023000729']
Stack 3 with items: ['0091017300_27022023019082', '0091017300_27022023019082']
Stack 4 with items: ['0091017300_27022023019082', '0091017300_27022023019082']
Stack 5 with items: ['0091017300_27022023019082', '0091017300_27022023019082']
Stack 6 with items: ['0091017300_27022023019082', '0091017300_27022023019082']
Stack 7 with items: ['0091017300_27022023019082', '0091017300_27022023019082']
Stack 8 with items: ['0091017300_27022023019082', '0091017300_27022023010696']
Stack 9 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 10 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 11 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 12 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 13 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 14 with items: ['0091017300_27022023007360', '0091017300_27022023007360']
Stack 15 with items: ['0091017300_27022023006977', '0091017300_27022023006977']
Heuristic packed all stacks
