dataset: A
instance: TA2
+-----------+
2D Packing Heuristic in Truck P206385703
Min2DVol: 15.599999999999996 [m2]
Stack 0 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 1 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 2 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 3 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 4 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 5 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 6 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 7 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 8 with items: ['0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013', '0090038300_03072022012013']
Stack 9 with items: ['0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635']
Stack 10 with items: ['0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635']
Stack 11 with items: ['0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635']
Stack 12 with items: ['0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635', '0090038300_03072022000635']
Heuristic packed all stacks
