dataset: A
instance: CI
+-----------+
2D Packing Heuristic in Truck P204449451
Min2DVol: 30.436574999999987 [m2]
Stack 0 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 1 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 2 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 3 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 4 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 5 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 6 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 7 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 8 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 9 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 10 with items: ['0090016800_03072022008642', '0090016800_03072022008642']
Stack 11 with items: ['0090016800_03072022007950', '0090016800_03072022007950']
Stack 12 with items: ['0090016800_03072022004362', '0090016800_03072022004362']
Stack 13 with items: ['0090016800_03072022004362', '0090016800_03072022003131']
Stack 14 with items: ['0090016800_03072022003131', '0090016800_03072022003131']
Stack 15 with items: ['0090016800_03072022003131', '0090016800_03072022003131']
Stack 16 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 17 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 18 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 19 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 20 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 21 with items: ['0090016800_03072022002876', '0090016800_03072022002876']
Stack 22 with items: ['0090016800_03072022002876', '0090016800_03072022002608']
Stack 23 with items: ['0090016800_03072022001303', '0090016800_03072022001303']
Stack 24 with items: ['0090016800_03072022001303', '0090016800_03072022001303']
Heuristic packed all stacks
