dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P339157201
Min2DVol: 18.867959999999997 [m2]
Stack 0 with items: ['0090017100_26102022016109', '0090017100_26102022004224']
Stack 1 with items: ['0090017100_26102022007943', '0090017100_26102022007106', '0090017100_26102022001334']
Stack 2 with items: ['0090017100_26102022006702', '0090017100_26102022009308']
Stack 3 with items: ['0090017100_26102022009308', '0090017100_26102022001030', '0090017100_26102022000655']
Stack 4 with items: ['0090017100_26102022000287', '0090017100_26102022001185', '0090017100_26102022001185', '0090017100_26102022002852']
Stack 5 with items: ['0090017100_26102022001185', '0090017100_26102022004259', '0090017100_26102022012714', '0090017100_26102022012714', '0090017100_26102022012714', '0090017100_26102022015318']
Stack 6 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 7 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 8 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 9 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 10 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 11 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 12 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 13 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 14 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 15 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 16 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 17 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 18 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 19 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 20 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 21 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 22 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 23 with items: ['0090017100_26102022004419', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 24 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 25 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975']
Stack 26 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 27 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 28 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 29 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 30 with items: ['0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419', '0090017100_26102022004419']
Stack 31 with items: ['0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022003975', '0090017100_26102022004419']
Heuristic packed all stacks
