dataset: X
instance: RM3
+-----------+
2D Packing Heuristic in Truck P194391311
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090038200_08062023012334', '0090038200_08062023003020']
Stack 1 with items: ['0090038200_08062023015295', '0090038200_08062023004916']
Stack 2 with items: ['0090038200_08062023013832', '0090038200_08062023020675']
Stack 3 with items: ['0090038200_08062023028023', '0090038200_08062023028023']
Stack 4 with items: ['0090038200_08062023029085', '0090038200_08062023029085', '0090038200_08062023029085']
Stack 5 with items: ['0090038200_08062023029085', '0090038200_08062023028539', '0090038200_08062023029085']
Stack 6 with items: ['0090038200_08062023028539', '0090038200_08062023028539', '0090038200_08062023028539']
Stack 7 with items: ['0090038200_08062023028539', '0090038200_08062023028539', '0090038200_08062023028539']
Stack 8 with items: ['0090038200_08062023028539', '0090038200_08062023028539', '0090038200_08062023028539']
Stack 9 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 10 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 11 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 12 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 13 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 14 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 15 with items: ['0090038200_08062023024770', '0090038200_08062023024770', '0090038200_08062023024770']
Stack 16 with items: ['0090038200_08062023024770', '0090038200_08062023024590', '0090038200_08062023024590']
Stack 17 with items: ['0090038200_08062023024590', '0090038200_08062023024590', '0090038200_08062023024590']
Stack 18 with items: ['0090038200_08062023024517', '0090038200_08062023024517', '0090038200_08062023024517']
Stack 19 with items: ['0090038200_08062023024517', '0090038200_08062023024517', '0090038200_08062023024517']
Stack 20 with items: ['0090038200_08062023024517', '0090038200_08062023021141', '0090038200_08062023024517']
Stack 21 with items: ['0090038200_08062023019471', '0090038200_08062023015436', '0090038200_08062023015436']
Stack 22 with items: ['0090038200_08062023015436', '0090038200_08062023015436', '0090038200_08062023015436']
Stack 23 with items: ['0090038200_08062023009950', '0090038200_08062023009945', '0090038200_08062023009945']
Stack 24 with items: ['0090038200_08062023009945', '0090038200_08062023006262', '0090038200_08062023009945']
Stack 25 with items: ['0090038200_08062023006262', '0090038200_08062023006130', '0090038200_08062023006130']
Heuristic packed all stacks
