dataset: X
instance: RM
+-----------+
2D Packing Heuristic in Truck P192391301
Min2DVol: 30.53418 [m2]
Stack 0 with items: ['0090038200_08062023030193', '0090038200_08062023022196', '0090038200_08062023023101', '0090038200_08062023000401']
Stack 1 with items: ['0090038200_08062023020312', '0090038200_08062023018967']
Stack 2 with items: ['0090038200_08062023008937', '0090038200_08062023004896']
Stack 3 with items: ['0090038200_08062023029865', '0090038200_08062023029865', '0090038200_08062023029865']
Stack 4 with items: ['0090038200_08062023029853', '0090038200_08062023029538', '0090038200_08062023026118']
Stack 5 with items: ['0090038200_08062023025938', '0090038200_08062023025938', '0090038200_08062023025938']
Stack 6 with items: ['0090038200_08062023025938', '0090038200_08062023025673', '0090038200_08062023025518']
Stack 7 with items: ['0090038200_08062023024275', '0090038200_08062023023991', '0090038200_08062023023912']
Stack 8 with items: ['0090038200_08062023023546', '0090038200_08062023023315', '0090038200_08062023023546']
Stack 9 with items: ['0090038200_08062023022724', '0090038200_08062023022223', '0090038200_08062023022724']
Stack 10 with items: ['0090038200_08062023019346', '0090038200_08062023018590', '0090038200_08062023017867']
Stack 11 with items: ['0090038200_08062023017482', '0090038200_08062023016326', '0090038200_08062023016206']
Stack 12 with items: ['0090038200_08062023015829', '0090038200_08062023014936', '0090038200_08062023015829']
Stack 13 with items: ['0090038200_08062023014609', '0090038200_08062023013804', '0090038200_08062023013201']
Stack 14 with items: ['0090038200_08062023006772', '0090038200_08062023006772', '0090038200_08062023006772']
Stack 15 with items: ['0090038200_08062023005989', '0090038200_08062023004269', '0090038200_08062023004018']
Stack 16 with items: ['0090038200_08062023003266', '0090038200_08062023003266', '0090038200_08062023003266']
Stack 17 with items: ['0090038200_08062023003266', '0090038200_08062023003145', '0090038200_08062023002969']
Stack 18 with items: ['0090038200_08062023001807', '0090038200_08062023001807', '0090038200_08062023001807']
Stack 19 with items: ['0090038200_08062023027105', '0090038200_08062023025409', '0090038200_08062023025377']
Stack 20 with items: ['0090038200_08062023025377', '0090038200_08062023022380', '0090038200_08062023025377']
Stack 21 with items: ['0090038200_08062023015929', '0090038200_08062023011095', '0090038200_08062023015929']
Stack 22 with items: ['0090038200_08062023006552', '0090038200_08062023005240', '0090038200_08062023006552']
Heuristic packed all stacks
