dataset: X
instance: TR7
+-----------+
2D Packing Heuristic in Truck P212420201
Min2DVol: 31.0803 [m2]
Stack 0 with items: ['0090017000_14062023002671', '0090017000_14062023038353']
Stack 1 with items: ['0090017000_14062023038353', '0090017000_14062023038353']
Stack 2 with items: ['0090017000_14062023038353', '0090017000_14062023038353']
Stack 3 with items: ['0090017000_14062023028271']
Stack 4 with items: ['0090017000_14062023038353', '0090017000_14062023038353']
Stack 5 with items: ['0090017000_14062023040914', '0090017000_14062023040914', '0090017000_14062023040914']
Stack 6 with items: ['0090017000_14062023040914', '0090017000_14062023040914', '0090017000_14062023040914']
Stack 7 with items: ['0090017000_14062023040914', '0090017000_14062023040914', '0090017000_14062023040914']
Stack 8 with items: ['0090017000_14062023040914', '0090017000_14062023040914', '0090017000_14062023040914']
Stack 9 with items: ['0090017000_14062023040914', '0090017000_14062023040914', '0090017000_14062023040914']
Stack 10 with items: ['0090017000_14062023037405', '0090017000_14062023020451', '0090017000_14062023020416']
Stack 11 with items: ['0090017000_14062023016429', '0090017000_14062023016429', '0090017000_14062023016429']
Stack 12 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 13 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 14 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 15 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 16 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 17 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 18 with items: ['0090017000_14062023003610', '0090017000_14062023003610', '0090017000_14062023003610']
Stack 19 with items: ['0090017000_14062023016933', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 20 with items: ['0090017000_14062023016933', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 21 with items: ['0090017000_14062023027151', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 22 with items: ['0090017000_14062023004011', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 23 with items: ['0090017000_14062023016933', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 24 with items: ['0090017000_14062023041459', '0090017000_14062023016933', '0090017000_14062023016933']
Stack 25 with items: ['0090017000_14062023016933', '0090017000_14062023016933', '0090017000_14062023016933']
Heuristic packed all stacks
