dataset: X
instance: MT6
+-----------+
2D Packing Heuristic in Truck P193630101
Min2DVol: 22.799999999999994 [m2]
Stack 0 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 1 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 2 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 3 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 4 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 5 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 6 with items: ['0091017700_14062023003698', '0091017700_14062023003698']
Stack 7 with items: ['0091017700_14062023003698', '0091017700_14062023002469']
Stack 8 with items: ['0091017700_14062023002469', '0091017700_14062023002469']
Stack 9 with items: ['0091017700_14062023002469', '0091017700_14062023002469']
Stack 10 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 11 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 12 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 13 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 14 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 15 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 16 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 17 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Stack 18 with items: ['0091017700_14062023000152', '0091017700_14062023000152']
Heuristic packed all stacks
