dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P067066405
Min2DVol: 32.280000000000015 [m2]
Stack 0 with items: ['0090016900_27022023050857', '0090016900_27022023050783', '0090016900_27022023032187']
Stack 1 with items: ['0090016900_27022023046691', '0090016900_27022023046691']
Stack 2 with items: ['0090016900_27022023046691', '0090016900_27022023042600']
Stack 3 with items: ['0090016900_27022023042600', '0090016900_27022023032187']
Stack 4 with items: ['0090016900_27022023032187', '0090016900_27022023032187', '0090016900_27022023032187']
Stack 5 with items: ['0090016900_27022023032187', '0090016900_27022023032000', '0090016900_27022023031182']
Stack 6 with items: ['0090016900_27022023030220', '0090016900_27022023029786']
Stack 7 with items: ['0090016900_27022023029786', '0090016900_27022023015678', '0090016900_27022023009085']
Stack 8 with items: ['0090016900_27022023014744', '0090016900_27022023009085']
Stack 9 with items: ['0090016900_27022023009085', '0090016900_27022023009085', '0090016900_27022023009085']
Stack 10 with items: ['0090016900_27022023009085', '0090016900_27022023005643', '0090016900_27022023005643']
Stack 11 with items: ['0090016900_27022023005491', '0090016900_27022023005402']
Stack 12 with items: ['0090016900_27022023000919', '0090016900_27022023000919']
Stack 13 with items: ['0090016900_27022023000919', '0090016900_27022023000919']
Stack 14 with items: ['0090016900_27022023048388', '0090016900_27022023038981', '0090016900_27022023038956', '0090016900_27022023048388']
Stack 15 with items: ['0090016900_27022023038956', '0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 16 with items: ['0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 17 with items: ['0090016900_27022023036063', '0090016900_27022023027311', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 18 with items: ['0090016900_27022023027311', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023027311']
Stack 19 with items: ['0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388']
Stack 20 with items: ['0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388']
Stack 21 with items: ['0090016900_27022023021302', '0090016900_27022023019711', '0090016900_27022023018711', '0090016900_27022023021302']
Stack 22 with items: ['0090016900_27022023015942', '0090016900_27022023010056', '0090016900_27022023010056', '0090016900_27022023015942']
Stack 23 with items: ['0090016900_27022023010056', '0090016900_27022023006684', '0090016900_27022023006684', '0090016900_27022023006684']
Stack 24 with items: ['0090016900_27022023006684', '0090016900_27022023004454', '0090016900_27022023004454', '0090016900_27022023006684']
Stack 25 with items: ['0090016900_27022023004454', '0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 26 with items: ['0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 27 with items: ['0090016900_27022023003893', '0090016900_27022023003606', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 28 with items: ['0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606']
Stack 29 with items: ['0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606']
Stack 30 with items: ['0090016900_27022023003606']
Stacks not packed:
Stack 14 missing: ['0090016900_27022023048388', '0090016900_27022023038981', '0090016900_27022023038956', '0090016900_27022023048388']
Stack 15 missing: ['0090016900_27022023038956', '0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 16 missing: ['0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 17 missing: ['0090016900_27022023036063', '0090016900_27022023027311', '0090016900_27022023036063', '0090016900_27022023036063']
Stack 18 missing: ['0090016900_27022023027311', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023027311']
Stack 19 missing: ['0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388']
Stack 20 missing: ['0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388', '0090016900_27022023021388']
Stack 21 missing: ['0090016900_27022023021302', '0090016900_27022023019711', '0090016900_27022023018711', '0090016900_27022023021302']
Stack 22 missing: ['0090016900_27022023015942', '0090016900_27022023010056', '0090016900_27022023010056', '0090016900_27022023015942']
Stack 23 missing: ['0090016900_27022023010056', '0090016900_27022023006684', '0090016900_27022023006684', '0090016900_27022023006684']
Stack 24 missing: ['0090016900_27022023006684', '0090016900_27022023004454', '0090016900_27022023004454', '0090016900_27022023006684']
Stack 25 missing: ['0090016900_27022023004454', '0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 26 missing: ['0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 27 missing: ['0090016900_27022023003893', '0090016900_27022023003606', '0090016900_27022023003893', '0090016900_27022023003893']
Stack 28 missing: ['0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606']
Stack 29 missing: ['0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606', '0090016900_27022023003606']
Stack 30 missing: ['0090016900_27022023003606']
