dataset: X
instance: SA3
+-----------+
2D Packing Heuristic in Truck P167157409
Min2DVol: 32.41805999999999 [m2]
Stack 0 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 1 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 2 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 3 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 4 with items: ['0090017100_08062023021472', '0090017100_08062023021472', '0090017100_08062023021472']
Stack 5 with items: ['0090017100_08062023021472', '0090017100_08062023021472', '0090017100_08062023021472']
Stack 6 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 7 with items: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
Stack 8 with items: ['0090017100_08062023002250']
Stack 9 with items: ['0090017100_08062023010310', '0090017100_08062023010310', '0090017100_08062023010310', '0090017100_08062023010310']
Stack 10 with items: ['0090017100_08062023010310', '0090017100_08062023010310', '0090017100_08062023010310', '0090017100_08062023010310']
Stack 11 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 12 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 13 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 14 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 15 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 16 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 17 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 18 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 19 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 20 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 21 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 22 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 23 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 24 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 25 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stack 26 with items: ['0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539', '0090017100_08062023005539']
Stacks not packed:
Stack 7 missing: ['0090017100_08062023001121', '0090017100_08062023001121', '0090017100_08062023001121']
