dataset: C
instance: TA3
+-----------+
2D Packing Heuristic in Truck P091380801
Min2DVol: 30.45150000000001 [m2]
Stack 0 with items: ['0090038300_28022023030993', '0090038300_28022023030678', '0090038300_28022023029278']
Stack 1 with items: ['0090038300_28022023030678', '0090038300_28022023029028', '0090038300_28022023030678']
Stack 2 with items: ['0090038300_28022023030678', '0090038300_28022023026340', '0090038300_28022023030678']
Stack 3 with items: ['0090038300_28022023030678', '0090038300_28022023001239', '0090038300_28022023030678']
Stack 4 with items: ['0090038300_28022023030678', '0090038300_28022023029835']
Stack 5 with items: ['0090038300_28022023029157', '0090038300_28022023027938']
Stack 6 with items: ['0090038300_28022023027938', '0090038300_28022023027938']
Stack 7 with items: ['0090038300_28022023027938', '0090038300_28022023027938']
Stack 8 with items: ['0090038300_28022023027938', '0090038300_28022023027938']
Stack 9 with items: ['0090038300_28022023025397', '0090038300_28022023020290']
Stack 10 with items: ['0090038300_28022023020290', '0090038300_28022023020290']
Stack 11 with items: ['0090038300_28022023019866', '0090038300_28022023019866']
Stack 12 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 13 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 14 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 15 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 16 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 17 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 18 with items: ['0090038300_28022023016259', '0090038300_28022023016259']
Stack 19 with items: ['0090038300_28022023016259', '0090038300_28022023015879']
Stack 20 with items: ['0090038300_28022023013784', '0090038300_28022023013784']
Stack 21 with items: ['0090038300_28022023013388', '0090038300_28022023013388']
Stack 22 with items: ['0090038300_28022023013149', '0090038300_28022023013118']
Stack 23 with items: ['0090038300_28022023011926', '0090038300_28022023011926']
Stack 24 with items: ['0090038300_28022023009748', '0090038300_28022023009748']
Heuristic packed all stacks
