dataset: C
instance: MT
+-----------+
2D Packing Heuristic in Truck P075570701
Min2DVol: 32.39999999999999 [m2]
Stack 0 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 1 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 2 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 3 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 4 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 5 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 6 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 7 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 8 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 9 with items: ['0091017700_27022023006900', '0091017700_27022023006900', '0091017700_27022023006900']
Stack 10 with items: ['0091017700_27022023005808', '0091017700_27022023004883', '0091017700_27022023004883']
Stack 11 with items: ['0091017700_27022023004077', '0091017700_27022023002901', '0091017700_27022023002901']
Stack 12 with items: ['0091017700_27022023002901', '0091017700_27022023002901', '0091017700_27022023002901']
Stack 13 with items: ['0091017700_27022023002901', '0091017700_27022023002901', '0091017700_27022023002901']
Stack 14 with items: ['0091017700_27022023002901', '0091017700_27022023002798', '0091017700_27022023002901']
Stack 15 with items: ['0091017700_27022023002120', '0091017700_27022023001539', '0091017700_27022023000283']
Stack 16 with items: ['0091017700_27022023000283', '0091017700_27022023000283', '0091017700_27022023000283']
Stack 17 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 18 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 19 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 20 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 21 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 22 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 23 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 24 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 25 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stack 26 with items: ['0091017700_27022023001314', '0091017700_27022023001314', '0091017700_27022023001314']
Stacks not packed:
Stack 16 missing: ['0091017700_27022023000283', '0091017700_27022023000283', '0091017700_27022023000283']
