dataset: A
instance: BY2
+-----------+
2D Packing Heuristic in Truck P249063801
Min2DVol: 25.080000000000005 [m2]
Stack 0 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 1 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 2 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 3 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 4 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 5 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 6 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 7 with items: ['0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 8 with items: ['0090016900_03072022014231', '0090016900_03072022013855', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 9 with items: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 10 with items: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 11 with items: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 12 with items: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 13 with items: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 14 with items: ['0090016900_03072022013855', '0090016900_03072022005505', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 15 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 16 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 17 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 18 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 19 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 20 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stack 21 with items: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
Stacks not packed:
Stack 8 missing: ['0090016900_03072022014231', '0090016900_03072022013855', '0090016900_03072022014231', '0090016900_03072022014231']
Stack 9 missing: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 10 missing: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 11 missing: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 12 missing: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 13 missing: ['0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 14 missing: ['0090016900_03072022013855', '0090016900_03072022005505', '0090016900_03072022013855', '0090016900_03072022013855']
Stack 20 missing: ['0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505', '0090016900_03072022005505']
