dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P321053507
Min2DVol: 32.41284000000002 [m2]
Stack 0 with items: ['0090017100_26102022007931', '0090017100_26102022007931', '0090017100_26102022007931']
Stack 1 with items: ['0090017100_26102022006438', '0090017100_26102022006438', '0090017100_26102022006438']
Stack 2 with items: ['0090017100_26102022007931', '0090017100_26102022007931', '0090017100_26102022007931']
Stack 3 with items: ['0090017100_26102022006438', '0090017100_26102022006438', '0090017100_26102022006438']
Stack 4 with items: ['0090017100_26102022006438', '0090017100_26102022006438', '0090017100_26102022006438']
Stack 5 with items: ['0090017100_26102022007931', '0090017100_26102022007931', '0090017100_26102022007931']
Stack 6 with items: ['0090017100_26102022006438']
Stack 7 with items: ['0090017100_26102022006438', '0090017100_26102022006438', '0090017100_26102022006438']
Stack 8 with items: ['0090017100_26102022015854', '0090017100_26102022015854']
Stack 9 with items: ['0090017100_26102022015854', '0090017100_26102022015854']
Stack 10 with items: ['0090017100_26102022015854', '0090017100_26102022014785']
Stack 11 with items: ['0090017100_26102022014785', '0090017100_26102022014785']
Stack 12 with items: ['0090017100_26102022014785', '0090017100_26102022014785']
Stack 13 with items: ['0090017100_26102022013759', '0090017100_26102022013759']
Stack 14 with items: ['0090017100_26102022013759', '0090017100_26102022013759']
Stack 15 with items: ['0090017100_26102022013759', '0090017100_26102022013759']
Stack 16 with items: ['0090017100_26102022013759', '0090017100_26102022013759']
Stack 17 with items: ['0090017100_26102022013759', '0090017100_26102022011275']
Stack 18 with items: ['0090017100_26102022011275', '0090017100_26102022011275']
Stack 19 with items: ['0090017100_26102022011275', '0090017100_26102022011275']
Stack 20 with items: ['0090017100_26102022011275', '0090017100_26102022011275']
Stack 21 with items: ['0090017100_26102022011275', '0090017100_26102022010306']
Heuristic packed all stacks
