dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P170050701
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090017100_08062023009603', '0090017100_08062023000244']
Stack 1 with items: ['0090017100_08062023024211', '0090017100_08062023024492']
Stack 2 with items: ['0090017100_08062023028763', '0090017100_08062023028763', '0090017100_08062023028763']
Stack 3 with items: ['0090017100_08062023028763', '0090017100_08062023028763', '0090017100_08062023028763']
Stack 4 with items: ['0090017100_08062023028763', '0090017100_08062023028763', '0090017100_08062023028763']
Stack 5 with items: ['0090017100_08062023027825', '0090017100_08062023027825', '0090017100_08062023027825']
Stack 6 with items: ['0090017100_08062023027825', '0090017100_08062023026571', '0090017100_08062023027825']
Stack 7 with items: ['0090017100_08062023026571', '0090017100_08062023026571', '0090017100_08062023026571']
Stack 8 with items: ['0090017100_08062023025007', '0090017100_08062023025007', '0090017100_08062023025007']
Stack 9 with items: ['0090017100_08062023025007', '0090017100_08062023025007', '0090017100_08062023025007']
Stack 10 with items: ['0090017100_08062023021079', '0090017100_08062023021079', '0090017100_08062023021079']
Stack 11 with items: ['0090017100_08062023021079', '0090017100_08062023018247', '0090017100_08062023021079']
Stack 12 with items: ['0090017100_08062023018247', '0090017100_08062023018189', '0090017100_08062023018247']
Stack 13 with items: ['0090017100_08062023018189', '0090017100_08062023018189', '0090017100_08062023018189']
Stack 14 with items: ['0090017100_08062023018189', '0090017100_08062023015714', '0090017100_08062023018189']
Stack 15 with items: ['0090017100_08062023015714', '0090017100_08062023015714', '0090017100_08062023015714']
Stack 16 with items: ['0090017100_08062023015714', '0090017100_08062023012896', '0090017100_08062023015714']
Stack 17 with items: ['0090017100_08062023012896', '0090017100_08062023012607', '0090017100_08062023012896']
Stack 18 with items: ['0090017100_08062023012607', '0090017100_08062023012607', '0090017100_08062023012607']
Stack 19 with items: ['0090017100_08062023012607', '0090017100_08062023012607', '0090017100_08062023012607']
Stack 20 with items: ['0090017100_08062023012607', '0090017100_08062023010513', '0090017100_08062023012607']
Stack 21 with items: ['0090017100_08062023010513', '0090017100_08062023006102', '0090017100_08062023006102']
Stack 22 with items: ['0090017100_08062023006102', '0090017100_08062023003373', '0090017100_08062023003373']
Stack 23 with items: ['0090017100_08062023005121', '0090017100_08062023005121', '0090017100_08062023005121']
Stack 24 with items: ['0090017100_08062023005121', '0090017100_08062023005084', '0090017100_08062023005084']
Stack 25 with items: ['0090017100_08062023003373', '0090017100_08062023001136', '0090017100_08062023001136']
Heuristic packed all stacks
