dataset: A
instance: CI2
+-----------+
2D Packing Heuristic in Truck P196402805
Min2DVol: 23.040000000000006 [m2]
Stack 0 with items: ['0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176']
Stack 1 with items: ['0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176']
Stack 2 with items: ['0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176']
Stack 3 with items: ['0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176']
Stack 4 with items: ['0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176', '0090016800_03072022009176']
Stack 5 with items: ['0090016800_03072022009176', '0090016800_03072022006735', '0090016800_03072022006735', '0090016800_03072022006735']
Stack 6 with items: ['0090016800_03072022006735', '0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022006735']
Stack 7 with items: ['0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932']
Stack 8 with items: ['0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932']
Stack 9 with items: ['0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932', '0090016800_03072022004932']
Stack 10 with items: ['0090016800_03072022004932', '0090016800_03072022000216', '0090016800_03072022000216', '0090016800_03072022000216']
Stack 11 with items: ['0090016800_03072022000216', '0090016800_03072022000216', '0090016800_03072022000216', '0090016800_03072022000216']
Heuristic packed all stacks
