dataset: A
instance: MT
+-----------+
2D Packing Heuristic in Truck P202635801
Min2DVol: 20.418059999999993 [m2]
Stack 0 with items: ['0091017700_03072022002013']
Stack 1 with items: ['0091017700_03072022000066']
Stack 2 with items: ['0091017700_03072022000763']
Stack 3 with items: ['0091017700_03072022002515', '0091017700_03072022002515', '0091017700_03072022002515']
Stack 4 with items: ['0091017700_03072022002515', '0091017700_03072022002515', '0091017700_03072022002515']
Stack 5 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 6 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 7 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 8 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 9 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 10 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 11 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 12 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 13 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 14 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 15 with items: ['0091017700_03072022002868', '0091017700_03072022002868', '0091017700_03072022002868']
Stack 16 with items: ['0091017700_03072022002607', '0091017700_03072022002607', '0091017700_03072022002607']
Heuristic packed all stacks
