dataset: B
instance: TR
+-----------+
2D Packing Heuristic in Truck P322278701
Min2DVol: 25.199999999999992 [m2]
Stack 0 with items: ['0090017000_26102022007212', '0090017000_26102022007212']
Stack 1 with items: ['0090017000_26102022007212', '0090017000_26102022007212']
Stack 2 with items: ['0090017000_26102022007212', '0090017000_26102022006971']
Stack 3 with items: ['0090017000_26102022006971', '0090017000_26102022006971']
Stack 4 with items: ['0090017000_26102022006971', '0090017000_26102022006971']
Stack 5 with items: ['0090017000_26102022004325', '0090017000_26102022004325']
Stack 6 with items: ['0090017000_26102022004325', '0090017000_26102022004325']
Stack 7 with items: ['0090017000_26102022003716', '0090017000_26102022003716']
Stack 8 with items: ['0090017000_26102022003716', '0090017000_26102022003716']
Stack 9 with items: ['0090017000_26102022003716', '0090017000_26102022003716']
Stack 10 with items: ['0090017000_26102022003716', '0090017000_26102022003716']
Stack 11 with items: ['0090017000_26102022003716', '0090017000_26102022003215']
Stack 12 with items: ['0090017000_26102022003215', '0090017000_26102022002550']
Stack 13 with items: ['0090017000_26102022002550', '0090017000_26102022002550']
Stack 14 with items: ['0090017000_26102022002550', '0090017000_26102022002550']
Stack 15 with items: ['0090017000_26102022002550', '0090017000_26102022002550']
Stack 16 with items: ['0090017000_26102022002550', '0090017000_26102022001673']
Stack 17 with items: ['0090017000_26102022001094', '0090017000_26102022000302']
Stack 18 with items: ['0090017000_26102022000302', '0090017000_26102022000302']
Stack 19 with items: ['0090017000_26102022000302', '0090017000_26102022000302']
Stack 20 with items: ['0090017000_26102022000302']
Heuristic packed all stacks
