dataset: X
instance: BY7
+-----------+
2D Packing Heuristic in Truck P194066201
Min2DVol: 32.128000000000014 [m2]
Stack 0 with items: ['0090016900_14062023003224', '0090016900_14062023017342', '0090016900_14062023017342']
Stack 1 with items: ['0090016900_14062023038967', '0090016900_14062023038967', '0090016900_14062023038967']
Stack 2 with items: ['0090016900_14062023020240', '0090016900_14062023003224', '0090016900_14062023038967']
Stack 3 with items: ['0090016900_14062023003224', '0090016900_14062023003224', '0090016900_14062023003224']
Stack 4 with items: ['0090016900_14062023043461', '0090016900_14062023035797', '0090016900_14062023043461', '0090016900_14062023043461']
Stack 5 with items: ['0090016900_14062023026895', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026895']
Stack 6 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 7 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 8 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 9 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 10 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 11 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 12 with items: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 13 with items: ['0090016900_14062023026731', '0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023026731']
Stack 14 with items: ['0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023020323']
Stack 15 with items: ['0090016900_14062023020323', '0090016900_14062023012383', '0090016900_14062023012383', '0090016900_14062023020323']
Stack 16 with items: ['0090016900_14062023012383', '0090016900_14062023004626', '0090016900_14062023012383', '0090016900_14062023012383']
Stack 17 with items: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
Stack 18 with items: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
Stack 19 with items: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
Stack 20 with items: ['0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830']
Stack 21 with items: ['0090016900_14062023031049', '0090016900_14062023031049', '0090016900_14062023031049', '0090016900_14062023043019']
Stack 22 with items: ['0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830']
Stack 23 with items: ['0090016900_14062023031049', '0090016900_14062023013830', '0090016900_14062023013830']
Stack 24 with items: ['0090016900_14062023013830', '0090016900_14062023005713', '0090016900_14062023005713', '0090016900_14062023013830']
Stack 25 with items: ['0090016900_14062023005713', '0090016900_14062023005713', '0090016900_14062023005713', '0090016900_14062023005713']
Stack 26 with items: ['0090016900_14062023043897', '0090016900_14062023043019']
Stack 27 with items: ['0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830', '0090016900_14062023013830']
Stacks not packed:
Stack 6 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 7 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 8 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 9 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 10 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 11 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 12 missing: ['0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731', '0090016900_14062023026731']
Stack 13 missing: ['0090016900_14062023026731', '0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023026731']
Stack 14 missing: ['0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023020323', '0090016900_14062023020323']
Stack 15 missing: ['0090016900_14062023020323', '0090016900_14062023012383', '0090016900_14062023012383', '0090016900_14062023020323']
Stack 16 missing: ['0090016900_14062023012383', '0090016900_14062023004626', '0090016900_14062023012383', '0090016900_14062023012383']
Stack 17 missing: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
Stack 18 missing: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
Stack 19 missing: ['0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626', '0090016900_14062023004626']
