dataset: X
instance: AS
+-----------+
2D Packing Heuristic in Truck P177752703
Min2DVol: 41.88000000000001 [m2]
Stack 0 with items: ['0090018000_08062023005934', '0090018000_08062023004928', '0090018000_08062023005525', '0090018000_08062023000673']
Stack 1 with items: ['0090018000_08062023012663', '0090018000_08062023007074', '0090018000_08062023008942', '0090018000_08062023004612']
Stack 2 with items: ['0090018000_08062023013254', '0090018000_08062023011741', '0090018000_08062023013239', '0090018000_08062023003014']
Stack 3 with items: ['0090018000_08062023013406', '0090018000_08062023008056', '0090018000_08062023010979', '0090018000_08062023002410']
Stack 4 with items: ['0090018000_08062023009939', '0090018000_08062023004657', '0090018000_08062023008975', '0090018000_08062023003284']
Stack 5 with items: ['0090018000_08062023011457', '0090018000_08062023000642']
Stack 6 with items: ['0090018000_08062023012231', '0090018000_08062023005151']
Stack 7 with items: ['0090018000_08062023014480', '0090018000_08062023012980', '0090018000_08062023014480']
Stack 8 with items: ['0090018000_08062023012980', '0090018000_08062023012980', '0090018000_08062023012980']
Stack 9 with items: ['0090018000_08062023012980', '0090018000_08062023012980', '0090018000_08062023012980']
Stack 10 with items: ['0090018000_08062023011984', '0090018000_08062023011984', '0090018000_08062023011984']
Stack 11 with items: ['0090018000_08062023011984', '0090018000_08062023011984', '0090018000_08062023011984']
Stack 12 with items: ['0090018000_08062023011984', '0090018000_08062023011114', '0090018000_08062023011114']
Stack 13 with items: ['0090018000_08062023011114', '0090018000_08062023011114', '0090018000_08062023011114']
Stack 14 with items: ['0090018000_08062023009912', '0090018000_08062023006412', '0090018000_08062023006412']
Stack 15 with items: ['0090018000_08062023006412', '0090018000_08062023006412', '0090018000_08062023006412']
Stack 16 with items: ['0090018000_08062023006412', '0090018000_08062023005956', '0090018000_08062023005956']
Stack 17 with items: ['0090018000_08062023005926', '0090018000_08062023005926', '0090018000_08062023005926']
Stack 18 with items: ['0090018000_08062023005926', '0090018000_08062023005926', '0090018000_08062023005926']
Stack 19 with items: ['0090018000_08062023005926', '0090018000_08062023004233', '0090018000_08062023005926']
Stack 20 with items: ['0090018000_08062023004233', '0090018000_08062023004090', '0090018000_08062023004090']
Stack 21 with items: ['0090018000_08062023004090', '0090018000_08062023004090', '0090018000_08062023004090']
Stack 22 with items: ['0090018000_08062023004090', '0090018000_08062023004090', '0090018000_08062023004090']
Stack 23 with items: ['0090018000_08062023003797', '0090018000_08062023003797', '0090018000_08062023003797']
Stack 24 with items: ['0090018000_08062023003797', '0090018000_08062023003797', '0090018000_08062023003797']
Stack 25 with items: ['0090018000_08062023003797', '0090018000_08062023002564', '0090018000_08062023003797']
Stack 26 with items: ['0090018000_08062023002564', '0090018000_08062023002564', '0090018000_08062023002564']
Stack 27 with items: ['0090018000_08062023002564', '0090018000_08062023002494', '0090018000_08062023002494']
Stack 28 with items: ['0090018000_08062023001638', '0090018000_08062023001638', '0090018000_08062023001638']
Stack 29 with items: ['0090018000_08062023001638', '0090018000_08062023001298', '0090018000_08062023001638']
Stack 30 with items: ['0090018000_08062023001298', '0090018000_08062023000643', '0090018000_08062023000643']
Stack 31 with items: ['0090018000_08062023000643', '0090018000_08062023000643', '0090018000_08062023000643']
Stack 32 with items: ['0090018000_08062023000643', '0090018000_08062023000643', '0090018000_08062023000643']
Stack 33 with items: ['0090018000_08062023008524']
Stacks not packed:
Stack 7 missing: ['0090018000_08062023014480', '0090018000_08062023012980', '0090018000_08062023014480']
Stack 11 missing: ['0090018000_08062023011984', '0090018000_08062023011984', '0090018000_08062023011984']
Stack 12 missing: ['0090018000_08062023011984', '0090018000_08062023011114', '0090018000_08062023011114']
Stack 13 missing: ['0090018000_08062023011114', '0090018000_08062023011114', '0090018000_08062023011114']
Stack 16 missing: ['0090018000_08062023006412', '0090018000_08062023005956', '0090018000_08062023005956']
Stack 28 missing: ['0090018000_08062023001638', '0090018000_08062023001638', '0090018000_08062023001638']
