dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P186167103
Min2DVol: 23.868000000000006 [m2]
Stack 0 with items: ['0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950']
Stack 1 with items: ['0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950']
Stack 2 with items: ['0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950']
Stack 3 with items: ['0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950']
Stack 4 with items: ['0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950', '0090016900_08062023021950']
Stack 5 with items: ['0090016900_08062023014170', '0090016900_08062023014170', '0090016900_08062023014170', '0090016900_08062023014170']
Stack 6 with items: ['0090016900_08062023014170', '0090016900_08062023014170', '0090016900_08062023014170', '0090016900_08062023014170']
Stack 7 with items: ['0090016900_08062023014170', '0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023014170']
Stack 8 with items: ['0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103']
Stack 9 with items: ['0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103']
Stack 10 with items: ['0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103', '0090016900_08062023004103']
Stack 11 with items: ['0090016900_08062023004103', '0090016900_08062023001355', '0090016900_08062023004103', '0090016900_08062023004103']
Heuristic packed all stacks
