dataset: X
instance: RM7
+-----------+
2D Packing Heuristic in Truck P193391205
Min2DVol: 22.848 [m2]
Stack 0 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 1 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 2 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 3 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 4 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 5 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 6 with items: ['0090038200_14062023005147', '0090038200_14062023005147']
Stack 7 with items: ['0090038200_14062023005147', '0090038200_14062023004813']
Stack 8 with items: ['0090038200_14062023004813', '0090038200_14062023004813']
Stack 9 with items: ['0090038200_14062023004813', '0090038200_14062023004813']
Stack 10 with items: ['0090038200_14062023004813', '0090038200_14062023004813']
Stack 11 with items: ['0090038200_14062023004813', '0090038200_14062023004813']
Heuristic packed all stacks
