dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P188056403
Min2DVol: 31.343882999999984 [m2]
Stack 0 with items: ['0090017100_08062023028083', '0090017100_08062023026487']
Stack 1 with items: ['0090017100_08062023006311', '0090017100_08062023006311']
Stack 2 with items: ['0090017100_08062023001308', '0090017100_08062023017986']
Stack 3 with items: ['0090017100_08062023005827', '0090017100_08062023005827']
Stack 4 with items: ['0090017100_08062023005986', '0090017100_08062023005827']
Stack 5 with items: ['0090017100_08062023011280', '0090017100_08062023011280']
Stack 6 with items: ['0090017100_08062023027925', '0090017100_08062023005986']
Stack 7 with items: ['0090017100_08062023026106', '0090017100_08062023026106', '0090017100_08062023026106']
Stack 8 with items: ['0090017100_08062023026106', '0090017100_08062023026106', '0090017100_08062023026106']
Stack 9 with items: ['0090017100_08062023026106', '0090017100_08062023025818', '0090017100_08062023025818']
Stack 10 with items: ['0090017100_08062023025818', '0090017100_08062023025818', '0090017100_08062023025818']
Stack 11 with items: ['0090017100_08062023025818', '0090017100_08062023025818', '0090017100_08062023025818']
Stack 12 with items: ['0090017100_08062023023897', '0090017100_08062023023897', '0090017100_08062023023897']
Stack 13 with items: ['0090017100_08062023018448', '0090017100_08062023018448', '0090017100_08062023018448']
Stack 14 with items: ['0090017100_08062023018448', '0090017100_08062023018448', '0090017100_08062023018448']
Stack 15 with items: ['0090017100_08062023018448', '0090017100_08062023017844', '0090017100_08062023018448']
Stack 16 with items: ['0090017100_08062023017844', '0090017100_08062023017844', '0090017100_08062023017844']
Stack 17 with items: ['0090017100_08062023017844', '0090017100_08062023017844', '0090017100_08062023017844']
Stack 18 with items: ['0090017100_08062023017844', '0090017100_08062023017844', '0090017100_08062023017844']
Stack 19 with items: ['0090017100_08062023017209', '0090017100_08062023017099', '0090017100_08062023017099']
Stack 20 with items: ['0090017100_08062023013602', '0090017100_08062023013602', '0090017100_08062023013602']
Stack 21 with items: ['0090017100_08062023013602', '0090017100_08062023013602', '0090017100_08062023013602']
Stack 22 with items: ['0090017100_08062023013602', '0090017100_08062023010581', '0090017100_08062023010581']
Stack 23 with items: ['0090017100_08062023010581', '0090017100_08062023010041', '0090017100_08062023010581']
Stack 24 with items: ['0090017100_08062023007842', '0090017100_08062023005328', '0090017100_08062023005328']
Stack 25 with items: ['0090017100_08062023019039', '0090017100_08062023019039', '0090017100_08062023019039']
Heuristic packed all stacks
