dataset: X
instance: SA2
+-----------+
2D Packing Heuristic in Truck P188056403
Min2DVol: 31.326419999999985 [m2]
Stack 0 with items: ['0090017100_08062023011280', '0090017100_08062023017986']
Stack 1 with items: ['0090017100_08062023005308', '0090017100_08062023001308']
Stack 2 with items: ['0090017100_08062023026487', '0090017100_08062023029171']
Stack 3 with items: ['0090017100_08062023026309', '0090017100_08062023026309']
Stack 4 with items: ['0090017100_08062023011280', '0090017100_08062023011280']
Stack 5 with items: ['0090017100_08062023028083', '0090017100_08062023003822']
Stack 6 with items: ['0090017100_08062023007098', '0090017100_08062023007098']
Stack 7 with items: ['0090017100_08062023027204', '0090017100_08062023025818', '0090017100_08062023025818']
Stack 8 with items: ['0090017100_08062023025818', '0090017100_08062023025818', '0090017100_08062023025818']
Stack 9 with items: ['0090017100_08062023025818', '0090017100_08062023024227', '0090017100_08062023025818']
Stack 10 with items: ['0090017100_08062023024227', '0090017100_08062023024227', '0090017100_08062023024227']
Stack 11 with items: ['0090017100_08062023024227', '0090017100_08062023024227', '0090017100_08062023024227']
Stack 12 with items: ['0090017100_08062023024227', '0090017100_08062023023897', '0090017100_08062023023897']
Stack 13 with items: ['0090017100_08062023018448', '0090017100_08062023018448', '0090017100_08062023018448']
Stack 14 with items: ['0090017100_08062023018448', '0090017100_08062023018448', '0090017100_08062023018448']
Stack 15 with items: ['0090017100_08062023018448', '0090017100_08062023017099', '0090017100_08062023018448']
Stack 16 with items: ['0090017100_08062023013602', '0090017100_08062023002539', '0090017100_08062023013602']
Stack 17 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 18 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 19 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 20 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 21 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 22 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 23 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 24 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Stack 25 with items: ['0090017100_08062023002539', '0090017100_08062023002539', '0090017100_08062023002539']
Heuristic packed all stacks
