dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P096420407
Min2DVol: 30.006060000000026 [m2]
Stack 0 with items: ['0090017000_27022023036268', '0090017000_27022023036192', '0090017000_27022023036134']
Stack 1 with items: ['0090017000_27022023035019', '0090017000_27022023034154', '0090017000_27022023034154']
Stack 2 with items: ['0090017000_27022023034154', '0090017000_27022023033973', '0090017000_27022023034154']
Stack 3 with items: ['0090017000_27022023033840', '0090017000_27022023033067', '0090017000_27022023032021']
Stack 4 with items: ['0090017000_27022023032021', '0090017000_27022023032021', '0090017000_27022023032021']
Stack 5 with items: ['0090017000_27022023032021', '0090017000_27022023030705', '0090017000_27022023029847']
Stack 6 with items: ['0090017000_27022023031763', '0090017000_27022023031763', '0090017000_27022023031763']
Stack 7 with items: ['0090017000_27022023031763', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 8 with items: ['0090017000_27022023029287', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 9 with items: ['0090017000_27022023029287', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 10 with items: ['0090017000_27022023029287', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 11 with items: ['0090017000_27022023029287', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 12 with items: ['0090017000_27022023028177', '0090017000_27022023028177', '0090017000_27022023028177']
Stack 13 with items: ['0090017000_27022023028177', '0090017000_27022023028019', '0090017000_27022023026541']
Stack 14 with items: ['0090017000_27022023025683', '0090017000_27022023024984', '0090017000_27022023024984']
Stack 15 with items: ['0090017000_27022023024984', '0090017000_27022023024984', '0090017000_27022023024984']
Stack 16 with items: ['0090017000_27022023024133', '0090017000_27022023021517', '0090017000_27022023021189']
Stack 17 with items: ['0090017000_27022023019615', '0090017000_27022023019123', '0090017000_27022023019123']
Stack 18 with items: ['0090017000_27022023019123', '0090017000_27022023019123', '0090017000_27022023019123']
Stack 19 with items: ['0090017000_27022023018225', '0090017000_27022023016995', '0090017000_27022023014020']
Stack 20 with items: ['0090017000_27022023013855', '0090017000_27022023012068', '0090017000_27022023012068']
Stack 21 with items: ['0090017000_27022023012068', '0090017000_27022023012068', '0090017000_27022023012068']
Stack 22 with items: ['0090017000_27022023012068', '0090017000_27022023011592', '0090017000_27022023012068']
Stack 23 with items: ['0090017000_27022023011524', '0090017000_27022023011524', '0090017000_27022023011524']
Stack 24 with items: ['0090017000_27022023010161', '0090017000_27022023010117', '0090017000_27022023010161']
Stack 25 with items: ['0090017000_27022023010117', '0090017000_27022023010117', '0090017000_27022023010117']
Stack 26 with items: ['0090017000_27022023009339', '0090017000_27022023009012', '0090017000_27022023009012']
Stack 27 with items: ['0090017000_27022023009012', '0090017000_27022023009012', '0090017000_27022023009012']
Stack 28 with items: ['0090017000_27022023007453', '0090017000_27022023004958', '0090017000_27022023004790']
Stack 29 with items: ['0090017000_27022023004004', '0090017000_27022023004004', '0090017000_27022023004004']
Stack 30 with items: ['0090017000_27022023004004', '0090017000_27022023001355', '0090017000_27022023004004']
Stack 31 with items: ['0090017000_27022023001355', '0090017000_27022023001355', '0090017000_27022023001355']
Stack 32 with items: ['0090017000_27022023001355', '0090017000_27022023001355', '0090017000_27022023001355']
Stack 33 with items: ['0090017000_27022023000557']
Stack 34 with items: ['0090017000_27022023017127', '0090017000_27022023017127', '0090017000_27022023017127']
Stack 35 with items: ['0090017000_27022023017127']
Stack 36 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 37 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 38 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 39 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 40 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 41 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 42 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 43 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 44 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 45 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 46 with items: ['0090017000_27022023024544', '0090017000_27022023024544', '0090017000_27022023024544']
Stack 47 with items: ['0090017000_27022023024544', '0090017000_27022023020570', '0090017000_27022023020570']
Stack 48 with items: ['0090017000_27022023034102', '0090017000_27022023033372']
Stack 49 with items: ['0090017000_27022023030173']
Stacks not packed:
Stack 0 missing: ['0090017000_27022023036268', '0090017000_27022023036192', '0090017000_27022023036134']
Stack 1 missing: ['0090017000_27022023035019', '0090017000_27022023034154', '0090017000_27022023034154']
Stack 2 missing: ['0090017000_27022023034154', '0090017000_27022023033973', '0090017000_27022023034154']
Stack 5 missing: ['0090017000_27022023032021', '0090017000_27022023030705', '0090017000_27022023029847']
Stack 6 missing: ['0090017000_27022023031763', '0090017000_27022023031763', '0090017000_27022023031763']
Stack 7 missing: ['0090017000_27022023031763', '0090017000_27022023029287', '0090017000_27022023029287']
Stack 8 missing: ['0090017000_27022023029287', '0090017000_27022023029287', '0090017000_27022023029287']
