dataset: B
instance: TA
+-----------+
2D Packing Heuristic in Truck P339386701
Min2DVol: 15.599999999999996 [m2]
Stack 0 with items: ['0090038300_26102022008042', '0090038300_26102022008042']
Stack 1 with items: ['0090038300_26102022008042', '0090038300_26102022008042']
Stack 2 with items: ['0090038300_26102022008042', '0090038300_26102022008042']
Stack 3 with items: ['0090038300_26102022008042', '0090038300_26102022008042']
Stack 4 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 5 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 6 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 7 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 8 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 9 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 10 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 11 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Stack 12 with items: ['0090038300_26102022000763', '0090038300_26102022000763']
Heuristic packed all stacks
