dataset: B
instance: FL
+-----------+
2D Packing Heuristic in Truck P349171803
Min2DVol: 28.799999999999994 [m2]
Stack 0 with items: ['0090015100_26102022002882', '0090015100_26102022002882', '0090015100_26102022002882']
Stack 1 with items: ['0090015100_26102022002882', '0090015100_26102022002882', '0090015100_26102022002882']
Stack 2 with items: ['0090015100_26102022001764', '0090015100_26102022001764', '0090015100_26102022001764']
Stack 3 with items: ['0090015100_26102022001764', '0090015100_26102022001764', '0090015100_26102022001764']
Stack 4 with items: ['0090015100_26102022001764', '0090015100_26102022001764', '0090015100_26102022001764']
Stack 5 with items: ['0090015100_26102022001764', '0090015100_26102022001764', '0090015100_26102022001764']
Stack 6 with items: ['0090015100_26102022001764', '0090015100_26102022001760', '0090015100_26102022001760']
Stack 7 with items: ['0090015100_26102022001760', '0090015100_26102022001760', '0090015100_26102022001760']
Stack 8 with items: ['0090015100_26102022001760', '0090015100_26102022001760', '0090015100_26102022001760']
Stack 9 with items: ['0090015100_26102022001760', '0090015100_26102022001760', '0090015100_26102022001760']
Heuristic packed all stacks
