dataset: X
instance: TR
+-----------+
2D Packing Heuristic in Truck P214276203
Min2DVol: 27.59999999999999 [m2]
Stack 0 with items: ['0090017000_08062023035003', '0090017000_08062023035003']
Stack 1 with items: ['0090017000_08062023028398', '0090017000_08062023028398']
Stack 2 with items: ['0090017000_08062023028398', '0090017000_08062023028398']
Stack 3 with items: ['0090017000_08062023028398', '0090017000_08062023028398']
Stack 4 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 5 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 6 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 7 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 8 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 9 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 10 with items: ['0090017000_08062023023629', '0090017000_08062023023629']
Stack 11 with items: ['0090017000_08062023020453', '0090017000_08062023020453']
Stack 12 with items: ['0090017000_08062023020453', '0090017000_08062023010503']
Stack 13 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 14 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 15 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 16 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 17 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 18 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 19 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 20 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 21 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stack 22 with items: ['0090017000_08062023010503', '0090017000_08062023010503']
Stacks not packed:
Stack 11 missing: ['0090017000_08062023020453', '0090017000_08062023020453']
