dataset: A
instance: VA
+-----------+
2D Packing Heuristic in Truck P199512501
Min2DVol: 21.92508 [m2]
Stack 0 with items: ['0091017300_03072022014606', '0091017300_03072022014606']
Stack 1 with items: ['0091017300_03072022014606', '0091017300_03072022014606']
Stack 2 with items: ['0091017300_03072022014606', '0091017300_03072022012189']
Stack 3 with items: ['0091017300_03072022012189', '0091017300_03072022012189']
Stack 4 with items: ['0091017300_03072022012189', '0091017300_03072022012189']
Stack 5 with items: ['0091017300_03072022012189', '0091017300_03072022012189']
Stack 6 with items: ['0091017300_03072022012189', '0091017300_03072022012074']
Stack 7 with items: ['0091017300_03072022012074', '0091017300_03072022012074']
Stack 8 with items: ['0091017300_03072022012074', '0091017300_03072022012074']
Stack 9 with items: ['0091017300_03072022012074', '0091017300_03072022012074']
Stack 10 with items: ['0091017300_03072022012074', '0091017300_03072022011593']
Stack 11 with items: ['0091017300_03072022009793', '0091017300_03072022009225']
Stack 12 with items: ['0091017300_03072022008424', '0091017300_03072022007476']
Stack 13 with items: ['0091017300_03072022005059', '0091017300_03072022001680']
Stack 14 with items: ['0091017300_03072022001680', '0091017300_03072022001680']
Stack 15 with items: ['0091017300_03072022001680', '0091017300_03072022001680']
Stack 16 with items: ['0091017300_03072022014316', '0091017300_03072022014316']
Stack 17 with items: ['0091017300_03072022014316', '0091017300_03072022014316']
Heuristic packed all stacks
