dataset: X
instance: SA5
+-----------+
2D Packing Heuristic in Truck P194151101
Min2DVol: 19.889999999999997 [m2]
Stack 0 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 1 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 2 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 3 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 4 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 5 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 6 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 7 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 8 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 9 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 10 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 11 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 12 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 13 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 14 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 15 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 16 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 17 with items: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 18 with items: ['0090017100_14062023028490', '0090017100_14062023021302', '0090017100_14062023021302', '0090017100_14062023028490']
Stack 19 with items: ['0090017100_14062023021302']
Stacks not packed:
Stack 12 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 13 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 14 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 15 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 16 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 17 missing: ['0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490', '0090017100_14062023028490']
Stack 18 missing: ['0090017100_14062023028490', '0090017100_14062023021302', '0090017100_14062023021302', '0090017100_14062023028490']
