dataset: X
instance: SA2
+-----------+
2D Packing Heuristic in Truck P201050617
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090017100_08062023028588', '0090017100_08062023014881']
Stack 1 with items: ['0090017100_08062023005233', '0090017100_08062023015335']
Stack 2 with items: ['0090017100_08062023000696', '0090017100_08062023005681']
Stack 3 with items: ['0090017100_08062023014382', '0090017100_08062023000696']
Stack 4 with items: ['0090017100_08062023026521', '0090017100_08062023026521', '0090017100_08062023026521']
Stack 5 with items: ['0090017100_08062023026521', '0090017100_08062023018627', '0090017100_08062023026521']
Stack 6 with items: ['0090017100_08062023024333', '0090017100_08062023022087', '0090017100_08062023022087']
Stack 7 with items: ['0090017100_08062023022087', '0090017100_08062023022087', '0090017100_08062023022087']
Stack 8 with items: ['0090017100_08062023022087', '0090017100_08062023022087', '0090017100_08062023022087']
Stack 9 with items: ['0090017100_08062023018627', '0090017100_08062023018627', '0090017100_08062023018627']
Stack 10 with items: ['0090017100_08062023018627', '0090017100_08062023001870', '0090017100_08062023001870']
Stack 11 with items: ['0090017100_08062023013063', '0090017100_08062023013063', '0090017100_08062023013063']
Stack 12 with items: ['0090017100_08062023007998', '0090017100_08062023007998', '0090017100_08062023007998']
Stack 13 with items: ['0090017100_08062023007998', '0090017100_08062023007998', '0090017100_08062023007998']
Stack 14 with items: ['0090017100_08062023006090', '0090017100_08062023006090', '0090017100_08062023006090']
Stack 15 with items: ['0090017100_08062023006090', '0090017100_08062023006090', '0090017100_08062023006090']
Stack 16 with items: ['0090017100_08062023006090', '0090017100_08062023005932', '0090017100_08062023005932']
Stack 17 with items: ['0090017100_08062023005932', '0090017100_08062023005932', '0090017100_08062023005932']
Stack 18 with items: ['0090017100_08062023002952', '0090017100_08062023002952', '0090017100_08062023002952']
Stack 19 with items: ['0090017100_08062023002952', '0090017100_08062023002952', '0090017100_08062023002952']
Stack 20 with items: ['0090017100_08062023002952', '0090017100_08062023002952', '0090017100_08062023002952']
Stack 21 with items: ['0090017100_08062023002952', '0090017100_08062023002952', '0090017100_08062023002952']
Stack 22 with items: ['0090017100_08062023001870', '0090017100_08062023001870', '0090017100_08062023001870']
Stack 23 with items: ['0090017100_08062023001870', '0090017100_08062023001870', '0090017100_08062023001870']
Stack 24 with items: ['0090017100_08062023001870', '0090017100_08062023001870', '0090017100_08062023001870']
Stack 25 with items: ['0090017100_08062023000988', '0090017100_08062023000988', '0090017100_08062023000988']
Heuristic packed all stacks
