dataset: X
instance: MA7
+-----------+
2D Packing Heuristic in Truck P179033101
Min2DVol: 31.698060000000012 [m2]
Stack 0 with items: ['0090016200_14062023005333', '0090016200_14062023003122', '0090016200_14062023021798', '0090016200_14062023034082']
Stack 1 with items: ['0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536']
Stack 2 with items: ['0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536']
Stack 3 with items: ['0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536', '0090016200_14062023003536']
Stack 4 with items: ['0090016200_14062023034297', '0090016200_14062023026720', '0090016200_14062023026720']
Stack 5 with items: ['0090016200_14062023023385', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 6 with items: ['0090016200_14062023022508', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 7 with items: ['0090016200_14062023022508', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 8 with items: ['0090016200_14062023022508', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 9 with items: ['0090016200_14062023022508', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 10 with items: ['0090016200_14062023022508', '0090016200_14062023022508', '0090016200_14062023022508']
Stack 11 with items: ['0090016200_14062023020546', '0090016200_14062023020546', '0090016200_14062023020546']
Stack 12 with items: ['0090016200_14062023020546', '0090016200_14062023020546', '0090016200_14062023020546']
Stack 13 with items: ['0090016200_14062023020546', '0090016200_14062023019048', '0090016200_14062023019048']
Stack 14 with items: ['0090016200_14062023019048', '0090016200_14062023019048', '0090016200_14062023019048']
Stack 15 with items: ['0090016200_14062023019048', '0090016200_14062023013281', '0090016200_14062023013281']
Stack 16 with items: ['0090016200_14062023010232', '0090016200_14062023010232', '0090016200_14062023010232']
Stack 17 with items: ['0090016200_14062023010232', '0090016200_14062023004322', '0090016200_14062023010232']
Heuristic packed all stacks
