dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P205224601
Min2DVol: 24.000000000000014 [m2]
Stack 0 with items: ['0090016900_08062023008645', '0090016900_08062023008645']
Stack 1 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 2 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 3 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 4 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 5 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 6 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 7 with items: ['0090016900_08062023042991', '0090016900_08062023042991', '0090016900_08062023042991']
Stack 8 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 9 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 10 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 11 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 12 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 13 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 14 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 15 with items: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 16 with items: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 17 with items: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 18 with items: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 19 with items: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 20 with items: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 21 with items: ['0090016900_08062023038575', '0090016900_08062023035077', '0090016900_08062023038575']
Stack 22 with items: ['0090016900_08062023035077', '0090016900_08062023034839', '0090016900_08062023034839']
Stack 23 with items: ['0090016900_08062023034839', '0090016900_08062023034839', '0090016900_08062023034839']
Stack 24 with items: ['0090016900_08062023032697', '0090016900_08062023029425', '0090016900_08062023029425']
Stack 25 with items: ['0090016900_08062023029425', '0090016900_08062023029425', '0090016900_08062023029425']
Stack 26 with items: ['0090016900_08062023029425', '0090016900_08062023029425', '0090016900_08062023029425']
Stack 27 with items: ['0090016900_08062023029425', '0090016900_08062023029425', '0090016900_08062023029425']
Stack 28 with items: ['0090016900_08062023029425', '0090016900_08062023029425', '0090016900_08062023029425']
Stack 29 with items: ['0090016900_08062023029425', '0090016900_08062023025613', '0090016900_08062023025613']
Stack 30 with items: ['0090016900_08062023025613', '0090016900_08062023024846', '0090016900_08062023025613']
Stack 31 with items: ['0090016900_08062023024846', '0090016900_08062023024846', '0090016900_08062023024846']
Stack 32 with items: ['0090016900_08062023024846', '0090016900_08062023012482', '0090016900_08062023012482']
Stack 33 with items: ['0090016900_08062023012482', '0090016900_08062023011190', '0090016900_08062023012482']
Stack 34 with items: ['0090016900_08062023011190', '0090016900_08062023004544', '0090016900_08062023011190']
Stack 35 with items: ['0090016900_08062023004544', '0090016900_08062023004544', '0090016900_08062023004544']
Stack 36 with items: ['0090016900_08062023004544', '0090016900_08062023002298', '0090016900_08062023002298']
Stack 37 with items: ['0090016900_08062023002298', '0090016900_08062023002298', '0090016900_08062023002298']
Stack 38 with items: ['0090016900_08062023002298', '0090016900_08062023002298', '0090016900_08062023002298']
Stack 39 with items: ['0090016900_08062023001695', '0090016900_08062023001695', '0090016900_08062023001695']
Stacks not packed:
Stack 8 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 9 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 10 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 11 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 12 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 13 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 14 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 15 missing: ['0090016900_08062023042246', '0090016900_08062023042246', '0090016900_08062023042246']
Stack 16 missing: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 17 missing: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 18 missing: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 19 missing: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 20 missing: ['0090016900_08062023038575', '0090016900_08062023038575', '0090016900_08062023038575']
Stack 21 missing: ['0090016900_08062023038575', '0090016900_08062023035077', '0090016900_08062023038575']
Stack 28 missing: ['0090016900_08062023029425', '0090016900_08062023029425', '0090016900_08062023029425']
