dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P108561609
Min2DVol: 30.720000000000013 [m2]
Stack 0 with items: ['0091017300_27022023041632', '0091017300_27022023041632', '0091017300_27022023041632']
Stack 1 with items: ['0091017300_27022023041632', '0091017300_27022023041632', '0091017300_27022023041632']
Stack 2 with items: ['0091017300_27022023041632', '0091017300_27022023041632', '0091017300_27022023041632']
Stack 3 with items: ['0091017300_27022023041632', '0091017300_27022023030472', '0091017300_27022023041632']
Stack 4 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 5 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 6 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 7 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 8 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 9 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 10 with items: ['0091017300_27022023030472', '0091017300_27022023030472', '0091017300_27022023030472']
Stack 11 with items: ['0091017300_27022023030472', '0091017300_27022023018038', '0091017300_27022023018038']
Stack 12 with items: ['0091017300_27022023018038', '0091017300_27022023018038', '0091017300_27022023018038']
Stack 13 with items: ['0091017300_27022023018038', '0091017300_27022023018038', '0091017300_27022023018038']
Stack 14 with items: ['0091017300_27022023018038', '0091017300_27022023018038', '0091017300_27022023018038']
Stack 15 with items: ['0091017300_27022023018038', '0091017300_27022023018038', '0091017300_27022023018038']
Heuristic packed all stacks
