dataset: A
instance: TA
+-----------+
2D Packing Heuristic in Truck P201385703
Min2DVol: 33.65417999999999 [m2]
Stack 0 with items: ['0090038300_03072022003489', '0090038300_03072022004476', '0090038300_03072022012458']
Stack 1 with items: ['0090038300_03072022001914', '0090038300_03072022012458']
Stack 2 with items: ['0090038300_03072022012458']
Stack 3 with items: ['0090038300_03072022010161', '0090038300_03072022009375', '0090038300_03072022009375', '0090038300_03072022009375']
Stack 4 with items: ['0090038300_03072022009375', '0090038300_03072022009375', '0090038300_03072022009375', '0090038300_03072022009375']
Stack 5 with items: ['0090038300_03072022009375', '0090038300_03072022008663', '0090038300_03072022008663', '0090038300_03072022008663']
Stack 6 with items: ['0090038300_03072022008663', '0090038300_03072022008663', '0090038300_03072022008663', '0090038300_03072022008663']
Stack 7 with items: ['0090038300_03072022008663', '0090038300_03072022008663', '0090038300_03072022008663', '0090038300_03072022008663']
Stack 8 with items: ['0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268']
Stack 9 with items: ['0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268']
Stack 10 with items: ['0090038300_03072022008268', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022008268']
Stack 11 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 12 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 13 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 14 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 15 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 16 with items: ['0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397', '0090038300_03072022006397']
Stack 17 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 18 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 19 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 20 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 21 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 22 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 23 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 24 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 25 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 26 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stack 27 with items: ['0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838', '0090038300_03072022002838']
Stacks not packed:
Stack 8 missing: ['0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268']
Stack 9 missing: ['0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268', '0090038300_03072022008268']
