dataset: X
instance: CI2
+-----------+
2D Packing Heuristic in Truck P199442509
Min2DVol: 30.978059999999996 [m2]
Stack 0 with items: ['0090016800_08062023013322', '0090016800_08062023015872', '0090016800_08062023019482', '0090016800_08062023023076', '0090016800_08062023024096', '0090016800_08062023029708']
Stack 1 with items: ['0090016800_08062023035568', '0090016800_08062023032929', '0090016800_08062023035568']
Stack 2 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 3 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 4 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 5 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 6 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 7 with items: ['0090016800_08062023028267', '0090016800_08062023028267', '0090016800_08062023028267']
Stack 8 with items: ['0090016800_08062023018590', '0090016800_08062023018590', '0090016800_08062023018590']
Stack 9 with items: ['0090016800_08062023024430', '0090016800_08062023024430', '0090016800_08062023024430']
Stack 10 with items: ['0090016800_08062023024430', '0090016800_08062023024430', '0090016800_08062023024430']
Stack 11 with items: ['0090016800_08062023024430', '0090016800_08062023024430', '0090016800_08062023024430']
Stack 12 with items: ['0090016800_08062023024430', '0090016800_08062023024430', '0090016800_08062023024430']
Stack 13 with items: ['0090016800_08062023027011', '0090016800_08062023024430', '0090016800_08062023027011']
Heuristic packed all stacks
