dataset: C
instance: CI3
+-----------+
2D Packing Heuristic in Truck P084401351
Min2DVol: 32.74835999999999 [m2]
Stack 0 with items: ['0090016800_28022023000161']
Stack 1 with items: ['0090016800_28022023023385', '0090016800_28022023019290']
Stack 2 with items: ['0090016800_28022023015617', '0090016800_28022023014301']
Stack 3 with items: ['0090016800_28022023014301', '0090016800_28022023012903']
Stack 4 with items: ['0090016800_28022023011653', '0090016800_28022023006452']
Stack 5 with items: ['0090016800_28022023000964', '0090016800_28022023000445']
Stack 6 with items: ['0090016800_28022023018194', '0090016800_28022023018194', '0090016800_28022023018194']
Stack 7 with items: ['0090016800_28022023018194', '0090016800_28022023018194', '0090016800_28022023018194']
Stack 8 with items: ['0090016800_28022023018194', '0090016800_28022023008742', '0090016800_28022023018194']
Stack 9 with items: ['0090016800_28022023018194', '0090016800_28022023018194', '0090016800_28022023018194']
Stack 10 with items: ['0090016800_28022023018194', '0090016800_28022023018194', '0090016800_28022023018194']
Stack 11 with items: ['0090016800_28022023008742', '0090016800_28022023008742', '0090016800_28022023008742']
Stack 12 with items: ['0090016800_28022023018194', '0090016800_28022023008742', '0090016800_28022023008742']
Stack 13 with items: ['0090016800_28022023018697', '0090016800_28022023018697', '0090016800_28022023018697']
Stack 14 with items: ['0090016800_28022023010939', '0090016800_28022023010939', '0090016800_28022023010939']
Stack 15 with items: ['0090016800_28022023010939', '0090016800_28022023010939', '0090016800_28022023010939']
Stack 16 with items: ['0090016800_28022023010939', '0090016800_28022023010939', '0090016800_28022023010939']
Stack 17 with items: ['0090016800_28022023010939', '0090016800_28022023018697', '0090016800_28022023018697']
Stack 18 with items: ['0090016800_28022023018697', '0090016800_28022023018697', '0090016800_28022023018697']
Stack 19 with items: ['0090016800_28022023018697', '0090016800_28022023012101', '0090016800_28022023018697']
Stack 20 with items: ['0090016800_28022023018697', '0090016800_28022023012101', '0090016800_28022023018697']
Stack 21 with items: ['0090016800_28022023018697', '0090016800_28022023010939', '0090016800_28022023010939']
Stack 22 with items: ['0090016800_28022023010939', '0090016800_28022023010939', '0090016800_28022023018697']
Stacks not packed:
Stack 20 missing: ['0090016800_28022023018697', '0090016800_28022023012101', '0090016800_28022023018697']
