dataset: C
instance: CA3
+-----------+
2D Packing Heuristic in Truck P096437201
Min2DVol: 23.999999999999993 [m2]
Stack 0 with items: ['0090012500_28022023002042', '0090012500_28022023002042']
Stack 1 with items: ['0090012500_28022023002042', '0090012500_28022023001398']
Stack 2 with items: ['0090012500_28022023002000', '0090012500_28022023002000']
Stack 3 with items: ['0090012500_28022023001398', '0090012500_28022023001398']
Stack 4 with items: ['0090012500_28022023000938', '0090012500_28022023000938']
Stack 5 with items: ['0090012500_28022023000938', '0090012500_28022023000938']
Stack 6 with items: ['0090012500_28022023000938', '0090012500_28022023000938']
Stack 7 with items: ['0090012500_28022023000938', '0090012500_28022023000938']
Stack 8 with items: ['0090012500_28022023000938', '0090012500_28022023000938']
Stack 9 with items: ['0090012500_28022023000938', '0090012500_28022023000611']
Stack 10 with items: ['0090012500_28022023000611', '0090012500_28022023000075']
Stack 11 with items: ['0090012500_28022023000534', '0090012500_28022023000534']
Stack 12 with items: ['0090012500_28022023000534', '0090012500_28022023000534']
Stack 13 with items: ['0090012500_28022023000503', '0090012500_28022023000503']
Stack 14 with items: ['0090012500_28022023000503', '0090012500_28022023000503']
Stack 15 with items: ['0090012500_28022023000075', '0090012500_28022023000075']
Stack 16 with items: ['0090012500_28022023000075', '0090012500_28022023000075']
Stack 17 with items: ['0090012500_28022023000075', '0090012500_28022023000075']
Stack 18 with items: ['0090012500_28022023000075', '0090012500_28022023000075']
Stack 19 with items: ['0090012500_28022023000075', '0090012500_28022023000075']
Heuristic packed all stacks
