dataset: C
instance: DO
+-----------+
2D Packing Heuristic in Truck P107222601
Min2DVol: 31.882980000000014 [m2]
Stack 0 with items: ['0090019100_27022023022580', '0090019100_27022023001277', '0090019100_27022023022580', '0090019100_27022023022580']
Stack 1 with items: ['0090019100_27022023000047', '0090019100_27022023000047', '0090019100_27022023000047', '0090019100_27022023000047']
Stack 2 with items: ['0090019100_27022023022580', '0090019100_27022023022580', '0090019100_27022023022580', '0090019100_27022023022580']
Stack 3 with items: ['0090019100_27022023000047', '0090019100_27022023000047', '0090019100_27022023000047', '0090019100_27022023022580']
Stack 4 with items: ['0090019100_27022023028979', '0090019100_27022023028979', '0090019100_27022023028979', '0090019100_27022023028979']
Stack 5 with items: ['0090019100_27022023001277', '0090019100_27022023001277', '0090019100_27022023001277', '0090019100_27022023001277']
Stack 6 with items: ['0090019100_27022023024253', '0090019100_27022023018723', '0090019100_27022023008899', '0090019100_27022023028950', '0090019100_27022023028950', '0090019100_27022023036378']
Stack 7 with items: ['0090019100_27022023005118', '0090019100_27022023013288', '0090019100_27022023030421', '0090019100_27022023032692']
Stack 8 with items: ['0090019100_27022023005822', '0090019100_27022023005822', '0090019100_27022023006107']
Stack 9 with items: ['0090019100_27022023006042', '0090019100_27022023006042']
Stack 10 with items: ['0090019100_27022023015788', '0090019100_27022023015788']
Stack 11 with items: ['0090019100_27022023015788', '0090019100_27022023015788']
Stack 12 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 13 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 14 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 15 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 16 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 17 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 18 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 19 with items: ['0090019100_27022023034171', '0090019100_27022023034171']
Stack 20 with items: ['0090019100_27022023034171', '0090019100_27022023026239']
Stack 21 with items: ['0090019100_27022023021792', '0090019100_27022023021792']
Stack 22 with items: ['0090019100_27022023014547', '0090019100_27022023014547']
Stack 23 with items: ['0090019100_27022023011348', '0090019100_27022023011348']
Stack 24 with items: ['0090019100_27022023011348', '0090019100_27022023011348']
Stack 25 with items: ['0090019100_27022023006932', '0090019100_27022023006932']
Stack 26 with items: ['0090019100_27022023006932', '0090019100_27022023006932']
Stack 27 with items: ['0090019100_27022023006932', '0090019100_27022023006932']
Stack 28 with items: ['0090019100_27022023006932', '0090019100_27022023006932']
Stack 29 with items: ['0090019100_27022023006932', '0090019100_27022023006932']
Stacks not packed:
Stack 10 missing: ['0090019100_27022023015788', '0090019100_27022023015788']
Stack 11 missing: ['0090019100_27022023015788', '0090019100_27022023015788']
