dataset: B
instance: SA
+-----------+
2D Packing Heuristic in Truck P320157505
Min2DVol: 32.639999999999986 [m2]
Stack 0 with items: ['0090017100_26102022003349', '0090017100_26102022003349', '0090017100_26102022015442']
Stack 1 with items: ['0090017100_26102022015442', '0090017100_26102022015442', '0090017100_26102022015442']
Stack 2 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 3 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 4 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 5 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 6 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 7 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 8 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 9 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 10 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 11 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 12 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 13 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 14 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 15 with items: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
Stack 16 with items: ['0090017100_26102022012023', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 17 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 18 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 19 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 20 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 21 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 22 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 23 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 24 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stack 25 with items: ['0090017100_26102022003534', '0090017100_26102022003534', '0090017100_26102022003534']
Stacks not packed:
Stack 15 missing: ['0090017100_26102022012023', '0090017100_26102022012023', '0090017100_26102022012023']
