dataset: X
instance: MA4
+-----------+
2D Packing Heuristic in Truck P171137105
Min2DVol: 22.799999999999994 [m2]
Stack 0 with items: ['0090016200_14062023025089', '0090016200_14062023014049', '0090016200_14062023025089']
Stack 1 with items: ['0090016200_14062023025089', '0090016200_14062023014049', '0090016200_14062023025089']
Stack 2 with items: ['0090016200_14062023025089', '0090016200_14062023014049', '0090016200_14062023009835']
Stack 3 with items: ['0090016200_14062023009835', '0090016200_14062023006250', '0090016200_14062023009835']
Stack 4 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 5 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 6 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 7 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 8 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 9 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 10 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 11 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 12 with items: ['0090016200_14062023006250', '0090016200_14062023006250', '0090016200_14062023006250']
Stack 13 with items: ['0090016200_14062023006250', '0090016200_14062023005973', '0090016200_14062023000945']
Stack 14 with items: ['0090016200_14062023000945', '0090016200_14062023000945', '0090016200_14062023000945']
Stack 15 with items: ['0090016200_14062023000945', '0090016200_14062023000945', '0090016200_14062023000945']
Stack 16 with items: ['0090016200_14062023000945', '0090016200_14062023000945', '0090016200_14062023000945']
Stack 17 with items: ['0090016200_14062023000945', '0090016200_14062023000945', '0090016200_14062023000945']
Stack 18 with items: ['0090016200_14062023000945', '0090016200_14062023000945', '0090016200_14062023000945']
Heuristic packed all stacks
