dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P103033105
Min2DVol: 31.698059999999998 [m2]
Stack 0 with items: ['0090016200_27022023010402', '0090016200_27022023010402']
Stack 1 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 2 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 3 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 4 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 5 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 6 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 7 with items: ['0090016200_27022023029772', '0090016200_27022023029772', '0090016200_27022023029772']
Stack 8 with items: ['0090016200_27022023029772', '0090016200_27022023023872', '0090016200_27022023023872']
Stack 9 with items: ['0090016200_27022023023872', '0090016200_27022023023872', '0090016200_27022023023872']
Stack 10 with items: ['0090016200_27022023023872', '0090016200_27022023023872', '0090016200_27022023023872']
Stack 11 with items: ['0090016200_27022023023872', '0090016200_27022023023872', '0090016200_27022023023872']
Stack 12 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 13 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 14 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 15 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 16 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 17 with items: ['0090016200_27022023023586', '0090016200_27022023023586', '0090016200_27022023023586']
Stack 18 with items: ['0090016200_27022023023586', '0090016200_27022023014624', '0090016200_27022023023586']
Stack 19 with items: ['0090016200_27022023014624', '0090016200_27022023014624', '0090016200_27022023014624']
Stack 20 with items: ['0090016200_27022023035045', '0090016200_27022023035045', '0090016200_27022023035045']
Stack 21 with items: ['0090016200_27022023035045', '0090016200_27022023035045', '0090016200_27022023035045']
Stack 22 with items: ['0090016200_27022023035045', '0090016200_27022023035045', '0090016200_27022023035045']
Stack 23 with items: ['0090016200_27022023035045', '0090016200_27022023035045', '0090016200_27022023035045']
Heuristic packed all stacks
