dataset: A
instance: DO2
+-----------+
2D Packing Heuristic in Truck P238223103
Min2DVol: 15.834779999999995 [m2]
Stack 0 with items: ['0090019100_03072022003823', '0090019100_03072022002716']
Stack 1 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 2 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 3 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 4 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 5 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 6 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 7 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 8 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 9 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 10 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 11 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Stack 12 with items: ['0090019100_03072022003823', '0090019100_03072022003823']
Heuristic packed all stacks
