dataset: A
instance: SA2
+-----------+
2D Packing Heuristic in Truck P251056207
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017100_03072022013625', '0090017100_03072022013625', '0090017100_03072022013625']
Stack 1 with items: ['0090017100_03072022013625', '0090017100_03072022013625', '0090017100_03072022013625']
Stack 2 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 3 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 4 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 5 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 6 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 7 with items: ['0090017100_03072022012471', '0090017100_03072022012471', '0090017100_03072022012471']
Stack 8 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 9 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 10 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 11 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 12 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 13 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 14 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 15 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 16 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 17 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 18 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 19 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 20 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 21 with items: ['0090017100_03072022009970', '0090017100_03072022009970', '0090017100_03072022009970']
Stack 22 with items: ['0090017100_03072022009970', '0090017100_03072022009916', '0090017100_03072022009970']
Stack 23 with items: ['0090017100_03072022009916', '0090017100_03072022009916', '0090017100_03072022009916']
Stack 24 with items: ['0090017100_03072022009916', '0090017100_03072022009916', '0090017100_03072022009916']
Stack 25 with items: ['0090017100_03072022009916', '0090017100_03072022009916', '0090017100_03072022009916']
Heuristic packed all stacks
