dataset: C
instance: TA3
+-----------+
2D Packing Heuristic in Truck P081385501
Min2DVol: 31.920000000000005 [m2]
Stack 0 with items: ['0090038300_28022023029140', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029140']
Stack 1 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 2 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 3 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 4 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 5 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 6 with items: ['0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 7 with items: ['0090038300_28022023029064', '0090038300_28022023028876', '0090038300_28022023029064', '0090038300_28022023029064']
Stack 8 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Stack 9 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Stack 10 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Stack 11 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Stack 12 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Stack 13 with items: ['0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623', '0090038300_28022023000623']
Heuristic packed all stacks
